,Segunda,Terça,Quarta,Quinta,Sexta
08:00, opt4 ,  pp  ,------,  sc  ,------
08:50, opt4 ,  pp  ,------,  sc  ,------
10:00, opt4 ,  pp  ,------,  sc  ,------
10:50, opt4 ,  pp  ,------,  sc  ,------
11:40,------,------,------,------,------
13:30,------,------,------,------, pc1a 
14:20,------,------,------,------, pc1a 
15:30,------,------,------,------, pc1a 
16:20,------,------,------,------, pc1a 
17:10,------,------,------,------,------
