,Segunda,Terça,Quarta,Quinta,Sexta
08:00,  cn  ,------,------,  cn  ,  ac  
08:50,  cn  ,------,------,  cn  ,  ac  
10:00, pc1b ,------, pc1b , igta ,  ac  
10:50, pc1b ,------, pc1b , igta ,  ac  
11:40,------,------,------,------,------
13:30, cacl2,------,  md  , igtb , pc1a 
14:20, cacl2,------,  md  , igtb , pc1a 
15:30,  md  ,------,  fe  , cacl2, pc1a 
16:20,  md  ,------,  fe  , cacl2, pc1a 
17:10,------,------,  fe  ,------,------
