,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,------
08:50,------,------,------,------,------
10:00,------,------,------, igta ,------
10:50,------,------,------, igta ,------
11:40,------,------,------,------,------
13:30,------,------,------, igtb ,------
14:20,------,------,------, igtb ,------
15:30,------,------,------,------,------
16:20,------,------,------,------,------
17:10,------,------,------,------,------
