,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------, engs1,------,------,------
08:50,------, engs1,------,------,------
10:00,  cd  , engs1, pedu ,------,  pc3 
10:50,  cd  , engs1, pedu ,------,  pc3 
11:40,------,------, pedu ,------,------
13:30,------,  tc  ,  pc3 ,  cd  ,  so  
14:20,------,  tc  ,  pc3 ,  cd  ,  so  
15:30,------,  tc  ,------,------,  so  
16:20,------,  tc  ,------,------,  so  
17:10,------,------,------,------,------
