,Segunda,Terça,Quarta,Quinta,Sexta
08:00,  pe2 ,------,  pe4 ,------,  pe4 
08:50,  pe2 ,------,  pe4 ,------,  pe4 
10:00,  pe2 ,------, pedu ,------,------
10:50,  pe2 ,------, pedu ,------,------
11:40,------,------, pedu ,------,------
13:30,------,------,------,------,------
14:20,------,------,------,------,------
15:30,------,------,------,------,------
16:20,------,------,------,------,------
17:10,------,------,------,------,------
