,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,  apc 
08:50,------,------,------,------,  apc 
10:00,------,------,  apc ,------,------
10:50,------,------,  apc ,------,------
11:40,------,------,------,------,------
13:30,------,------,------,------,------
14:20,------,------,------,------,------
15:30,------,------,------,------,------
16:20,------,------,------,------,------
17:10,------,------,------,------,------
