,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,------
08:50,------,------,------,------,------
10:00,------,------,------,------,------
10:50,------,------,------,------,------
11:40,------,------,------,------,------
13:30,------,------,------,  eda ,------
14:20,------,------,------,  eda ,------
15:30,  eda ,------,------,------,------
16:20,  eda ,------,------,------,------
17:10,------,------,------,------,------
