,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,------
08:50,------,------,------,------,------
10:00,------,------,------,------,------
10:50,------,------,------,------,------
11:40,------,------,------,------,------
13:30, cacl2,------,  md  ,------,------
14:20, cacl2,------,  md  ,------,------
15:30,  md  ,------,------, cacl2,------
16:20,  md  ,------,------, cacl2,------
17:10,------,------,------,------,------
