,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,------
08:50,------,------,------,------,------
10:00,------,------,------,------,------
10:50,------,------,------,------,------
11:40,------,------,------,------,------
13:30,------,------,------,------,------
14:20,------,------,------,------,------
15:30,------,------,  fe  ,------,------
16:20,------,------,  fe  ,------,------
17:10,------,------,  fe  ,------,------
