gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-60913.0,-14400.0,-22977.329999999958,-22409.0,3519.22,90971,20.454639196395874,"[1, 4, 8, 13, 11, 10, 10, 13, 14, 13, 14, 3, 6, 19, 6, 8, 2, 20, 5, 13, 10, 10, 1, 6, 16, 9, 18, 5, 4, 9, 14, 17, 2, 12, 1, 4, 6, 13, 15, 3, 9, 10, 1, 11, 12, 11, 17, 12, 3, 6, 7, 18, 2, 9]"
1,-58423.0,-9901.0,-19699.27000000002,-18908.0,3644.25,91116,21.51604962348938,"[12, 18, 17, 12, 19, 8, 18, 17, 5, 13, 6, 13, 4, 3, 5, 12, 11, 10, 2, 1, 14, 10, 17, 5, 20, 10, 2, 14, 1, 2, 5, 7, 9, 10, 4, 13, 13, 1, 11, 12, 9, 2, 13, 15, 3, 1, 20, 6, 3, 9, 11, 19, 6, 14]"
2,-61924.0,-9395.0,-17254.560000000056,-16405.0,3834.84,91225,21.71429681777954,"[10, 9, 20, 9, 16, 3, 15, 14, 17, 9, 1, 13, 15, 2, 9, 14, 4, 5, 2, 14, 14, 10, 9, 5, 14, 15, 10, 13, 2, 18, 6, 15, 11, 8, 13, 6, 1, 14, 14, 13, 18, 9, 18, 1, 13, 6, 16, 8, 20, 19, 1, 16, 7, 18]"
3,-62918.0,-6394.0,-15035.630000000005,-13908.0,4020.2,90942,21.27781105041504,"[10, 9, 20, 9, 16, 3, 15, 14, 17, 9, 1, 13, 15, 4, 2, 11, 10, 17, 14, 15, 6, 9, 17, 5, 19, 2, 14, 10, 19, 7, 20, 11, 2, 7, 4, 9, 3, 12, 14, 5, 1, 15, 17, 16, 5, 2, 6, 18, 20, 19, 5, 6, 2, 13]"
4,-56913.0,-4895.0,-12942.079999999958,-11900.0,4164.83,91188,21.040802717208862,"[12, 18, 17, 12, 19, 8, 18, 17, 5, 13, 6, 13, 4, 3, 5, 12, 11, 10, 2, 1, 14, 10, 17, 5, 3, 1, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 10, 17, 18, 17, 18, 18, 6, 18, 20, 19, 5, 6, 6, 14]"
5,-53907.0,-3893.0,-11454.199999999953,-10395.0,4313.78,91113,20.816099405288696,"[12, 18, 17, 12, 19, 8, 3, 10, 5, 13, 6, 13, 4, 3, 5, 12, 11, 10, 2, 1, 14, 10, 17, 5, 3, 1, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 10, 17, 18, 17, 18, 18, 6, 18, 20, 19, 5, 6, 6, 14]"
6,-51421.0,-2897.0,-9668.209999999963,-8397.0,4433.58,90943,20.17565631866455,"[12, 18, 17, 12, 19, 8, 3, 10, 5, 13, 6, 13, 4, 3, 5, 12, 11, 10, 2, 1, 14, 10, 17, 5, 3, 1, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 9, 2, 13, 15, 3, 1, 6, 18, 20, 19, 5, 6, 6, 14]"
7,-58919.0,-2392.0,-7026.930000000051,-5393.0,4522.1,90978,19.62954330444336,"[17, 18, 17, 12, 19, 8, 3, 10, 5, 18, 6, 13, 4, 3, 5, 12, 11, 10, 2, 1, 14, 10, 17, 5, 3, 1, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 10, 17, 18, 17, 5, 2, 6, 18, 20, 19, 5, 6, 6, 13]"
8,-53918.0,-1888.0,-5550.050000000047,-3889.0,4526.35,91028,19.1875581741333,"[17, 18, 17, 12, 19, 8, 3, 10, 5, 18, 6, 13, 4, 3, 5, 12, 11, 10, 2, 3, 14, 10, 17, 5, 20, 10, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 9, 2, 13, 17, 5, 2, 6, 18, 20, 19, 5, 6, 1, 9]"
9,-55909.0,-1387.0,-4820.709999999963,-2894.0,4607.04,91031,19.39576244354248,"[17, 18, 17, 12, 19, 8, 3, 10, 5, 18, 6, 13, 4, 3, 5, 12, 11, 10, 2, 1, 14, 10, 17, 3, 14, 1, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 9, 2, 13, 17, 5, 2, 6, 18, 20, 19, 5, 6, 1, 9]"
10,-56919.0,-1386.0,-4166.400000000023,-2388.0,4643.43,91053,19.329439163208008,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 6, 13, 4, 3, 5, 12, 11, 10, 14, 15, 10, 2, 9, 16, 3, 2, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 9, 2, 13, 15, 3, 18, 6, 18, 20, 19, 5, 6, 6, 14]"
11,-62909.0,-1383.0,-3966.7900000000373,-1889.0,4687.79,90840,19.243892192840576,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 6, 13, 4, 3, 5, 12, 11, 10, 14, 15, 10, 2, 9, 16, 3, 2, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 9, 2, 18, 17, 5, 18, 6, 18, 20, 19, 5, 6, 6, 14]"
12,-46403.0,-885.0,-3718.4899999999907,-1884.0,4653.86,91103,19.204326629638672,"[17, 18, 17, 12, 19, 8, 3, 10, 5, 18, 1, 13, 4, 3, 5, 15, 16, 10, 2, 6, 14, 10, 17, 3, 14, 1, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 11, 12, 9, 2, 13, 17, 5, 2, 6, 18, 20, 19, 5, 6, 1, 9]"
13,-47407.0,-883.0,-3568.7399999999907,-1385.0,4612.19,91083,19.1841721534729,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 6, 13, 4, 3, 5, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 6, 18, 20, 19, 5, 6, 6, 14]"
14,-48409.0,-883.0,-3480.5200000000186,-1383.0,4616.73,91047,19.227064609527588,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 6, 13, 4, 3, 5, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 6, 18, 20, 19, 5, 6, 6, 14]"
15,-50415.0,-383.0,-3429.689999999944,-1387.0,4670.78,91084,19.330810070037842,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 2, 13, 4, 3, 5, 12, 11, 10, 14, 15, 10, 2, 9, 16, 3, 6, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 18, 9, 16, 17, 5, 18, 6, 18, 20, 19, 5, 6, 6, 14]"
16,-52913.0,-383.0,-2846.2399999999907,-883.0,4615.15,91101,19.067650318145752,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 2, 13, 4, 3, 5, 12, 11, 10, 14, 15, 10, 2, 9, 16, 3, 6, 10, 17, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 18, 9, 16, 17, 5, 18, 6, 18, 20, 19, 5, 6, 6, 14]"
17,-51403.0,-382.0,-2369.0200000000186,-384.0,4610.09,91049,19.165968894958496,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 2, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
18,-45901.0,-382.0,-2278.7600000000093,-383.0,4570.67,91045,19.077987909317017,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 2, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
19,-49900.0,-382.0,-2317.9799999999814,-383.0,4587.02,91022,19.17707848548889,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 2, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
20,-49912.0,-382.0,-2494.0200000000186,-383.0,4602.18,91040,19.177133798599243,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 2, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
21,-57415.0,-382.0,-2271.469999999972,-382.0,4584.95,91318,19.16146969795227,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 2, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 4, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
22,-48407.0,-381.0,-2318.1999999999534,-382.0,4641.15,91208,19.206096649169922,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
23,-46900.0,-381.0,-2277.2900000000373,-382.0,4600.68,91141,19.001402854919434,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
24,-45905.0,-381.0,-2310.2099999999627,-382.0,4610.99,91011,19.148508548736572,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
25,-46418.0,-381.0,-2300.0500000000466,-381.0,4574.48,91223,19.10497260093689,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
26,-48396.0,-381.0,-2287.9100000000326,-381.0,4599.12,91073,19.066914796829224,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
27,-52409.0,-381.0,-2305.5500000000466,-381.0,4650.46,91074,19.025635242462158,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
28,-49406.0,-381.0,-2310.8000000000466,-381.0,4639.55,91123,19.3067524433136,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
29,-46403.0,-381.0,-2320.2399999999907,-381.0,4645.19,91192,19.197266578674316,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
30,-56408.0,-381.0,-2274.1500000000233,-381.0,4573.24,91261,19.10245680809021,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
31,-48902.0,-381.0,-2269.890000000014,-381.0,4580.34,91090,19.141364812850952,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
32,-49403.0,-381.0,-2310.8800000000047,-381.0,4656.87,91029,19.14759874343872,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
33,-42404.0,-381.0,-2278.0200000000186,-381.0,4596.76,91190,19.193098306655884,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
34,-44902.0,-381.0,-2277.8399999999674,-381.0,4576.96,91298,19.052663326263428,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
35,-50904.0,-381.0,-2288.5100000000093,-381.0,4607.37,91021,19.160128593444824,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
36,-47902.0,-381.0,-2279.359999999986,-381.0,4594.33,91139,19.26059365272522,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
37,-48901.0,-381.0,-2272.469999999972,-381.0,4606.62,90929,18.953551530838013,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
38,-47404.0,-381.0,-2289.3000000000466,-381.0,4614.46,91147,19.18355655670166,"[17, 18, 17, 12, 19, 8, 2, 1, 5, 13, 4, 13, 4, 3, 6, 12, 11, 10, 14, 15, 10, 9, 17, 16, 3, 6, 2, 1, 13, 14, 20, 7, 2, 11, 7, 8, 17, 9, 1, 2, 10, 17, 18, 15, 3, 18, 5, 18, 20, 19, 5, 6, 6, 14]"
