gen,min,max,mean,median,std,time
197,-42380.0,135.0,-842.37,135.0,2778.07,9.993699312210083
198,-43897.0,135.0,-863.56,135.0,2801.11,9.986518621444702
199,-40382.0,135.0,-819.8,135.0,2707.76,10.023308038711548
200,-40386.0,135.0,-844.77,135.0,2772.46,9.909801244735718
201,-39371.0,135.0,-849.94,135.0,2782.5,10.033315896987915
202,-35879.0,135.0,-859.8,135.0,2799.08,10.096254110336304
203,-41379.0,135.0,-846.94,135.0,2788.76,9.88442087173462
204,-40876.0,135.0,-842.15,135.0,2786.31,10.092583656311035
205,-40376.0,135.0,-817.45,135.0,2735.89,10.061141729354858
206,-39875.0,135.0,-826.58,135.0,2756.47,9.843549489974976
207,-35888.0,135.0,-834.63,135.0,2773.05,10.032612562179565
208,-40886.0,135.0,-838.52,135.0,2793.96,9.867128610610962
209,-39872.0,135.0,-809.26,135.0,2721.23,10.053820610046387
210,-41885.0,135.0,-822.22,135.0,2747.84,9.923288345336914
211,-40388.0,135.0,-824.35,135.0,2767.28,9.987669467926025
212,-44372.0,135.0,-824.43,135.0,2755.68,9.97390365600586
213,-42399.0,135.0,-801.77,135.0,2716.67,10.060691118240356
214,-35882.0,135.0,-790.78,135.0,2718.35,9.915112257003784
215,-39371.0,135.0,-799.63,135.0,2718.17,10.011084079742432
216,-36384.0,135.0,-775.56,135.0,2646.95,10.140521764755249
217,-57385.0,135.0,-792.05,135.0,2703.72,9.947853088378906
218,-42384.0,135.0,-791.12,135.0,2708.78,10.232668399810791
219,-53894.0,135.0,-799.98,135.0,2735.52,10.100136518478394
220,-41898.0,135.0,-770.07,135.0,2671.29,9.947959423065186
221,-46394.0,135.0,-794.61,135.0,2748.55,10.093279600143433
222,-43380.0,135.0,-784.13,135.0,2701.19,9.967400312423706
223,-45380.0,135.0,-752.97,135.0,2637.85,9.886095762252808
224,-35388.0,135.0,-778.08,135.0,2696.48,9.924882411956787
225,-45380.0,135.0,-770.3,135.0,2660.58,9.916271924972534
226,-39371.0,135.0,-770.51,135.0,2668.21,10.01011872291565
227,-41386.0,135.0,-765.28,135.0,2661.97,10.008418560028076
228,-43380.0,135.0,-749.82,135.0,2627.54,9.975148677825928
229,-38380.0,135.0,-767.3,135.0,2685.81,10.113749980926514
230,-36370.0,135.0,-732.41,135.0,2606.15,9.915047883987427
231,-44884.0,135.0,-754.52,135.0,2641.55,10.031315088272095
232,-39884.0,135.0,-757.03,135.0,2678.22,10.129888772964478
233,-42877.0,135.0,-739.16,135.0,2615.21,9.908523082733154
234,-42380.0,135.0,-737.34,135.0,2626.39,9.981068849563599
235,-43382.0,135.0,-737.24,135.0,2618.21,10.216614723205566
236,-36879.0,135.0,-737.35,135.0,2616.13,9.821844100952148
237,-45392.0,135.0,-734.01,135.0,2614.25,10.033383846282959
238,-38384.0,135.0,-733.74,135.0,2621.59,9.899728775024414
239,-36381.0,135.0,-739.64,135.0,2640.57,10.139252185821533
240,-40372.0,135.0,-717.75,135.0,2565.23,9.947437524795532
241,-41892.0,135.0,-735.04,135.0,2610.52,10.007039070129395
242,-43379.0,135.0,-731.0,135.0,2617.42,10.037093162536621
