gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-81936.0,-14405.0,-33344.189999999944,-31921.0,7567.51,80156,10.524569988250732,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 20, 12, 17, 17, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
1,-81932.0,-14405.0,-32170.81999999995,-30919.0,7060.02,80286,10.509788751602173,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 20, 12, 17, 17, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
2,-72928.0,-14405.0,-31184.939999999944,-29920.0,6632.8,80259,10.433876037597656,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 20, 12, 17, 17, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
3,-80420.0,-14405.0,-30203.579999999958,-28925.0,6229.86,80027,10.45928168296814,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 20, 12, 17, 17, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
4,-66926.0,-13408.0,-29522.56999999995,-28418.0,5948.32,80274,10.608843088150024,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 1, 2, 1, 16, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
5,-64930.0,-13408.0,-28724.670000000042,-27912.0,5575.48,80012,10.20076608657837,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 1, 2, 1, 16, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
6,-63425.0,-13408.0,-28091.209999999963,-27410.0,5288.83,80039,10.588538646697998,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 1, 2, 1, 16, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
7,-61916.0,-13408.0,-27512.380000000005,-26910.0,5050.24,80171,10.533053398132324,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 1, 2, 1, 16, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
8,-69922.0,-13407.0,-27040.550000000047,-26413.0,4876.82,80165,10.707522630691528,"[15, 2, 5, 14, 4, 8, 3, 4, 14, 18, 1, 19, 12, 1, 1, 2, 1, 16, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
9,-59422.0,-12906.0,-26745.920000000042,-25919.0,4806.55,80240,10.542972326278687,"[18, 11, 18, 7, 19, 10, 19, 7, 6, 15, 9, 8, 9, 12, 2, 18, 13, 5, 6, 4, 1, 10, 18, 3, 15, 17, 11, 3, 16, 15, 7, 14, 12, 18, 3, 10, 10, 9, 1, 2, 2, 1, 7, 5, 17, 11, 19, 5, 16, 3, 15, 6, 4, 3]"
