gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-53917.0,-13406.0,-22318.280000000028,-21913.0,2700.51,80578,19.604543685913086,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 3, 9, 17, 9, 3, 11, 2, 10, 3, 5, 11, 6, 13, 10, 9, 18, 13, 19, 4, 16, 8, 13, 3, 8, 7, 7, 20, 17, 8, 2, 5, 19, 1, 14, 10, 7, 6, 15, 5, 15, 14, 2, 10]"
1,-47421.0,-9904.0,-18674.699999999953,-17914.0,2760.76,80270,20.054992198944092,"[1, 10, 19, 5, 11, 18, 15, 1, 14, 13, 13, 5, 10, 13, 6, 9, 10, 14, 13, 2, 9, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 6, 3, 16, 6, 6, 18, 2, 9, 1, 13, 7, 2, 14, 14, 7, 3, 9, 15, 2, 3, 5, 17]"
2,-51424.0,-8897.0,-15885.130000000005,-15401.0,2920.33,80287,20.026848554611206,"[9, 10, 5, 18, 8, 19, 7, 19, 8, 7, 10, 4, 2, 14, 14, 5, 19, 18, 13, 2, 9, 12, 11, 20, 14, 10, 6, 5, 18, 17, 7, 15, 16, 2, 9, 18, 18, 6, 9, 18, 11, 1, 10, 3, 2, 6, 1, 13, 20, 15, 16, 6, 6, 5]"
3,-48909.0,-6896.0,-13347.380000000005,-12413.0,2914.75,79903,19.862627744674683,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 15, 2, 9, 5, 16, 15, 6, 19, 1, 14, 13, 1, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 12, 3, 10, 6, 5, 11, 12, 1, 10, 14, 19, 10, 11, 13, 6, 12, 11, 4, 13, 2, 10]"
4,-50922.0,-5897.0,-11457.01000000001,-10893.0,2977.32,80004,19.424555778503418,"[18, 19, 18, 9, 3, 14, 6, 19, 9, 18, 2, 15, 2, 9, 5, 16, 15, 6, 13, 5, 14, 17, 5, 1, 10, 6, 18, 6, 11, 17, 7, 8, 11, 3, 13, 7, 16, 5, 2, 10, 9, 1, 13, 13, 6, 18, 12, 1, 15, 2, 3, 4, 11, 10]"
5,-47910.0,-4893.0,-9961.949999999953,-9397.0,3021.63,80281,19.283226013183594,"[18, 19, 10, 20, 1, 9, 2, 14, 17, 5, 4, 14, 10, 17, 9, 7, 13, 7, 20, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 13, 2, 3, 16, 6, 6, 18, 2, 9, 10, 17, 20, 1, 14, 10, 1, 13, 15, 1, 5, 6, 3, 10]"
6,-53422.0,-3392.0,-8601.359999999986,-7896.0,3005.49,79693,19.06994080543518,"[18, 19, 10, 20, 1, 9, 2, 14, 17, 5, 4, 14, 10, 17, 9, 7, 13, 7, 20, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 13, 2, 3, 16, 6, 6, 18, 2, 9, 10, 17, 20, 1, 14, 10, 1, 13, 15, 1, 6, 19, 2, 9]"
7,-51908.0,-2889.0,-7461.390000000014,-6402.0,3060.48,80566,18.720452070236206,"[18, 19, 10, 20, 1, 9, 2, 14, 17, 5, 4, 14, 10, 17, 9, 7, 13, 7, 20, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 13, 2, 3, 16, 6, 6, 18, 2, 9, 10, 17, 20, 1, 14, 10, 1, 13, 15, 1, 5, 19, 2, 9]"
8,-48916.0,-2391.0,-6362.849999999977,-5397.0,3106.3,80167,18.459271907806396,"[18, 19, 10, 20, 1, 11, 8, 19, 5, 13, 2, 14, 8, 19, 10, 11, 10, 12, 6, 14, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 2, 13, 6, 2, 11, 5, 17, 20, 14, 2, 6, 1, 13, 17, 7, 6, 18, 10, 9]"
9,-46905.0,-1887.0,-5137.780000000028,-3893.0,3201.24,80447,18.35550355911255,"[18, 19, 10, 20, 1, 9, 2, 14, 17, 5, 4, 14, 10, 17, 9, 7, 13, 10, 6, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 13, 2, 3, 16, 6, 6, 18, 2, 9, 5, 17, 20, 1, 14, 10, 1, 13, 15, 1, 5, 19, 2, 9]"
10,-50403.0,-1385.0,-4304.989999999991,-2889.0,3158.12,80218,17.99132752418518,"[18, 19, 10, 20, 1, 11, 8, 19, 18, 17, 13, 4, 2, 14, 5, 16, 15, 6, 2, 14, 6, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 12, 3, 10, 6, 5, 11, 12, 1, 10, 14, 2, 14, 14, 1, 13, 12, 11, 4, 13, 2, 1]"
11,-49410.0,-886.0,-4116.709999999963,-2894.0,3347.08,80051,18.26506543159485,"[18, 19, 10, 20, 1, 11, 8, 19, 18, 17, 10, 4, 2, 14, 5, 16, 15, 6, 2, 14, 6, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 12, 3, 10, 6, 5, 2, 9, 1, 10, 14, 2, 14, 14, 1, 13, 12, 11, 4, 13, 2, 1]"
12,-47912.0,-386.0,-3485.969999999972,-2391.0,3387.8,80209,18.081963539123535,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 2, 14, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 2, 13, 6, 2, 9, 1, 10, 14, 2, 14, 6, 1, 13, 12, 11, 4, 13, 5, 17]"
13,-45400.0,-383.0,-2524.5200000000186,-1393.0,3088.86,80206,18.0501229763031,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 8, 19, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 2, 13, 6, 2, 9, 1, 10, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
14,-54902.0,-381.0,-2187.469999999972,-885.0,3090.91,80158,17.93987774848938,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 2, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
15,-43900.0,-381.0,-1110.4899999999907,-386.0,2782.19,80116,17.86117935180664,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 2, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
16,-45908.0,-381.0,-943.8399999999674,-383.0,2602.39,80121,17.829751014709473,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 2, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
17,-39910.0,-381.0,-914.25,-381.0,2566.28,80151,17.803863525390625,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 2, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
18,-48403.0,-381.0,-921.1800000000512,-381.0,2606.54,79974,17.894880533218384,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 2, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
19,-41907.0,-381.0,-910.9300000000512,-381.0,2572.11,80295,17.560940980911255,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 2, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
20,-47901.0,-381.0,-920.0799999999581,-381.0,2598.84,80464,17.8308162689209,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 2, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
21,-52897.0,-380.0,-927.7700000000186,-381.0,2633.51,80337,17.997045040130615,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 15, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 8, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
22,-47906.0,-380.0,-922.640000000014,-381.0,2602.53,80096,17.735310077667236,"[18, 19, 12, 20, 14, 1, 1, 10, 1, 13, 10, 4, 15, 16, 5, 16, 15, 6, 13, 2, 18, 9, 10, 20, 5, 10, 6, 14, 18, 17, 7, 8, 3, 9, 3, 2, 13, 6, 2, 9, 10, 17, 20, 14, 2, 6, 1, 13, 12, 11, 6, 14, 5, 17]"
