gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-58923.0,-14403.0,-22336.73999999999,-21913.0,2735.33,80207,19.40819263458252,"[19, 12, 1, 2, 14, 12, 14, 2, 9, 18, 16, 2, 3, 14, 10, 11, 10, 17, 14, 15, 6, 16, 4, 10, 11, 1, 18, 8, 14, 6, 6, 20, 9, 10, 8, 2, 1, 12, 13, 2, 7, 1, 2, 20, 4, 7, 7, 13, 8, 18, 3, 13, 1, 2]"
1,-55917.0,-11400.0,-18847.900000000023,-18405.0,2721.55,80346,20.147018671035767,"[3, 11, 12, 20, 9, 3, 8, 19, 9, 2, 1, 14, 5, 12, 5, 20, 14, 14, 13, 20, 10, 11, 3, 2, 12, 13, 10, 14, 6, 19, 15, 16, 8, 18, 17, 1, 3, 14, 19, 7, 16, 15, 10, 8, 20, 10, 5, 18, 18, 7, 13, 4, 1, 2]"
2,-50917.0,-9393.0,-16175.199999999953,-15409.0,2843.87,80119,20.041374444961548,"[15, 7, 19, 10, 14, 10, 1, 13, 13, 14, 3, 14, 3, 18, 14, 3, 4, 4, 12, 7, 6, 10, 17, 19, 11, 8, 6, 18, 2, 1, 19, 11, 2, 11, 7, 19, 12, 11, 7, 15, 17, 10, 19, 18, 5, 17, 12, 11, 14, 2, 12, 20, 5, 1]"
3,-51412.0,-7401.0,-13811.040000000037,-12910.0,2937.4,80093,19.984171390533447,"[19, 12, 1, 2, 14, 2, 10, 4, 17, 9, 1, 13, 15, 4, 14, 3, 4, 4, 12, 7, 6, 10, 17, 19, 11, 8, 6, 18, 2, 1, 19, 11, 18, 3, 15, 7, 12, 11, 7, 15, 17, 10, 19, 18, 5, 2, 10, 17, 17, 18, 3, 13, 1, 2]"
4,-52919.0,-5897.0,-11881.660000000033,-10910.0,2941.18,80539,19.86230754852295,"[19, 12, 1, 2, 14, 2, 10, 4, 17, 9, 1, 13, 15, 4, 14, 12, 11, 7, 15, 4, 6, 10, 17, 19, 11, 8, 6, 18, 2, 1, 19, 11, 18, 3, 15, 7, 12, 11, 7, 15, 17, 10, 19, 18, 5, 2, 10, 17, 17, 18, 3, 13, 1, 2]"
5,-49907.0,-4393.0,-10300.079999999958,-9403.0,3039.97,80375,19.69124484062195,"[10, 9, 20, 9, 16, 3, 15, 14, 17, 9, 1, 13, 4, 3, 5, 12, 11, 10, 2, 12, 6, 10, 17, 5, 20, 10, 6, 18, 2, 1, 19, 20, 15, 6, 4, 3, 20, 8, 5, 14, 17, 10, 19, 18, 5, 10, 14, 13, 18, 17, 5, 6, 19, 4]"
6,-51409.0,-3890.0,-8867.76000000001,-7901.0,3118.73,79939,18.91849184036255,"[7, 9, 20, 9, 16, 3, 15, 14, 17, 9, 1, 13, 4, 3, 5, 12, 11, 10, 2, 12, 6, 10, 17, 5, 20, 10, 6, 18, 2, 1, 19, 20, 15, 6, 4, 3, 20, 8, 5, 14, 17, 10, 19, 18, 5, 10, 14, 13, 18, 17, 5, 6, 1, 10]"
7,-49917.0,-2890.0,-7592.900000000023,-6893.0,3153.21,80365,18.844981908798218,"[15, 14, 9, 17, 11, 19, 7, 15, 2, 9, 1, 13, 4, 3, 5, 12, 11, 10, 2, 12, 6, 10, 17, 5, 20, 10, 6, 18, 2, 1, 19, 20, 15, 6, 4, 3, 20, 8, 5, 14, 17, 10, 19, 18, 5, 10, 14, 13, 18, 17, 5, 6, 7, 8]"
8,-51910.0,-2388.0,-5897.040000000037,-4891.0,3033.42,80430,18.396056413650513,"[4, 9, 10, 9, 14, 3, 15, 14, 17, 9, 1, 13, 4, 3, 5, 12, 11, 10, 2, 12, 6, 10, 17, 5, 20, 10, 6, 18, 2, 1, 19, 20, 15, 6, 4, 3, 20, 8, 5, 14, 17, 10, 19, 18, 5, 10, 14, 13, 18, 17, 5, 6, 1, 2]"
9,-49404.0,-1887.0,-4132.209999999963,-3391.0,2780.43,79992,18.272592067718506,"[10, 9, 20, 9, 16, 3, 15, 14, 17, 9, 1, 13, 4, 3, 5, 12, 11, 17, 2, 14, 6, 10, 17, 5, 20, 10, 6, 18, 2, 1, 19, 20, 15, 6, 4, 3, 20, 8, 5, 14, 17, 10, 19, 18, 5, 10, 14, 13, 18, 17, 5, 6, 1, 2]"
