gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-50420.0,-13407.0,-22694.339999999967,-22406.0,3044.45,91066,20.377291202545166,"[19, 20, 11, 10, 20, 8, 20, 19, 11, 16, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 11, 16, 16, 1, 18, 5, 5, 6, 17, 9, 18, 11, 12, 5, 7, 2, 14, 18, 15, 18, 5, 4, 19, 8]"
1,-50413.0,-10905.0,-19196.719999999972,-18413.0,3102.71,90896,21.39492106437683,"[19, 7, 6, 15, 6, 18, 9, 2, 13, 6, 2, 10, 9, 13, 20, 8, 19, 5, 13, 9, 9, 7, 19, 3, 14, 14, 7, 14, 5, 17, 15, 16, 2, 8, 6, 11, 17, 9, 1, 2, 15, 4, 14, 6, 12, 14, 19, 18, 9, 4, 11, 10, 5, 18]"
2,-51410.0,-9402.0,-16584.949999999953,-15906.0,3178.12,91177,21.26774787902832,"[15, 8, 17, 18, 10, 14, 2, 10, 10, 18, 3, 13, 14, 6, 13, 15, 7, 12, 19, 20, 6, 13, 5, 3, 11, 5, 10, 17, 9, 1, 6, 7, 16, 15, 5, 14, 6, 7, 13, 2, 9, 20, 15, 14, 17, 2, 16, 2, 18, 6, 3, 4, 13, 14]"
3,-46909.0,-7896.0,-14591.160000000033,-13905.0,3233.08,91011,21.122742652893066,"[17, 10, 4, 14, 10, 3, 3, 9, 13, 5, 16, 3, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 13, 7, 10, 9, 6, 5, 13, 2, 1, 2, 15, 8, 10, 9, 20, 18, 6, 17, 4, 12, 9, 18, 2, 9]"
4,-52414.0,-5895.0,-12754.640000000014,-11905.0,3290.03,91062,21.184366941452026,"[18, 17, 12, 17, 17, 11, 13, 2, 13, 5, 16, 3, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 10, 10, 9, 14, 13, 11, 12, 2, 9, 18, 10, 1, 2, 3, 14, 1, 15, 10, 18, 17, 2, 5, 6, 3, 12, 4, 14, 2, 3]"
5,-45909.0,-4896.0,-11056.75,-10398.0,3341.29,91066,20.8827543258667,"[20, 19, 5, 16, 5, 13, 14, 7, 18, 6, 17, 10, 9, 4, 2, 11, 19, 18, 14, 15, 10, 10, 1, 1, 6, 5, 10, 9, 14, 13, 11, 16, 8, 7, 10, 9, 9, 17, 2, 1, 17, 18, 20, 5, 6, 17, 1, 15, 16, 2, 8, 15, 2, 13]"
6,-42406.0,-3395.0,-9476.079999999958,-8403.0,3453.93,91302,20.434289932250977,"[20, 19, 5, 16, 5, 13, 14, 7, 18, 5, 10, 2, 14, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 10, 10, 9, 14, 13, 3, 16, 16, 1, 10, 9, 9, 17, 2, 1, 17, 18, 20, 5, 6, 17, 1, 15, 16, 2, 8, 15, 2, 13]"
7,-55412.0,-2393.0,-8024.439999999944,-6899.0,3518.84,91102,20.325074672698975,"[20, 19, 5, 16, 5, 13, 14, 7, 18, 17, 10, 2, 14, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 4, 11, 5, 10, 9, 14, 13, 3, 16, 16, 1, 10, 9, 9, 17, 2, 1, 17, 18, 20, 5, 6, 17, 1, 15, 16, 2, 8, 15, 2, 13]"
8,-49406.0,-1386.0,-6590.5,-5397.0,3531.3,91087,19.862180709838867,"[20, 19, 5, 16, 5, 16, 16, 15, 14, 5, 3, 10, 9, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 10, 10, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 3, 12, 14, 5, 2, 13]"
9,-39408.0,-886.0,-5124.910000000033,-3894.0,3373.93,91049,19.55209517478943,"[20, 19, 5, 16, 5, 16, 16, 15, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 10, 10, 10, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 6, 5, 3, 12, 4, 14, 2, 13]"
10,-43897.0,-885.0,-4002.670000000042,-2394.0,3438.28,91114,19.458709955215454,"[20, 19, 5, 16, 5, 16, 16, 15, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 10, 10, 10, 9, 14, 13, 11, 12, 2, 9, 18, 9, 9, 17, 2, 1, 17, 18, 10, 18, 17, 2, 5, 6, 3, 12, 4, 14, 2, 13]"
11,-41395.0,-385.0,-2919.3399999999674,-1386.0,3391.08,90982,18.849045276641846,"[20, 19, 5, 16, 5, 16, 16, 15, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 10, 1, 10, 1, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 17, 18, 3, 4, 2, 13]"
12,-44415.0,-385.0,-2515.9599999999627,-886.0,3427.0,91088,18.984992742538452,"[20, 19, 5, 16, 5, 16, 16, 15, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 10, 1, 10, 1, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 17, 18, 3, 4, 2, 13]"
13,-47897.0,-385.0,-2139.5200000000186,-885.0,3400.38,91058,19.099536657333374,"[20, 19, 5, 16, 5, 16, 16, 15, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 10, 1, 10, 1, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 17, 18, 3, 4, 2, 13]"
14,-39912.0,-385.0,-1795.109999999986,-385.0,3399.44,90884,19.01144814491272,"[20, 19, 5, 16, 5, 16, 16, 15, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 10, 1, 10, 1, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 17, 18, 3, 4, 2, 13]"
15,-42391.0,-385.0,-1791.8000000000466,-385.0,3403.15,91109,18.86216378211975,"[20, 19, 5, 16, 5, 16, 16, 15, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 1, 10, 1, 10, 1, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 17, 18, 3, 4, 2, 13]"
16,-40397.0,116.0,-1781.0100000000093,-385.0,3387.45,90971,18.798913717269897,"[20, 19, 5, 14, 5, 16, 16, 8, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 9, 1, 10, 10, 10, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 17, 18, 3, 4, 1, 13]"
17,-36397.0,116.0,-1799.9300000000512,-385.0,3415.93,91031,19.067755222320557,"[20, 19, 5, 14, 5, 16, 16, 8, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 9, 1, 10, 10, 10, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 17, 18, 3, 4, 1, 13]"
18,-38405.0,116.0,-1794.609999999986,-385.0,3442.59,91069,19.217511892318726,"[20, 19, 5, 14, 5, 16, 16, 8, 14, 5, 3, 13, 8, 15, 2, 11, 19, 18, 14, 15, 6, 10, 9, 1, 10, 10, 10, 9, 14, 13, 11, 12, 2, 9, 10, 9, 9, 17, 2, 1, 17, 18, 20, 18, 17, 2, 5, 6, 17, 18, 3, 4, 1, 13]"
