gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-49425.0,-13407.0,-22364.530000000028,-21915.0,2618.8,89563,20.33168053627014,"[19, 20, 11, 10, 20, 8, 20, 19, 11, 16, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 11, 16, 16, 1, 18, 5, 5, 6, 17, 9, 18, 11, 12, 5, 7, 2, 14, 18, 15, 18, 5, 4, 19, 8]"
1,-52415.0,-10902.0,-18726.170000000042,-18406.0,2600.76,89571,21.085440397262573,"[20, 16, 17, 10, 4, 11, 2, 4, 1, 10, 10, 18, 12, 2, 2, 17, 14, 12, 3, 15, 13, 19, 20, 9, 19, 2, 13, 18, 3, 4, 8, 11, 11, 9, 15, 7, 6, 15, 1, 9, 19, 10, 20, 12, 20, 18, 6, 17, 18, 19, 6, 1, 18, 10]"
2,-43414.0,-8401.0,-16004.400000000023,-15408.0,2576.41,89621,20.799506902694702,"[2, 9, 15, 2, 16, 13, 11, 2, 9, 1, 7, 19, 19, 8, 13, 19, 11, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 14, 2, 9, 18, 7, 10, 3, 18, 10, 13, 6, 7, 19, 9, 17, 13, 12, 19, 6, 17, 1, 5, 20, 9, 10, 2, 13]"
3,-41909.0,-6896.0,-13910.900000000023,-13404.0,2661.16,89568,20.83116888999939,"[11, 4, 4, 14, 10, 3, 3, 7, 13, 14, 8, 16, 19, 18, 1, 15, 6, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 11, 16, 16, 1, 18, 5, 18, 10, 2, 9, 5, 15, 14, 17, 9, 13, 18, 5, 8, 16, 2, 13, 17, 6]"
4,-46405.0,-5400.0,-11722.930000000051,-10909.0,2670.15,89694,20.66879367828369,"[20, 19, 4, 14, 10, 3, 3, 9, 13, 14, 8, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 11, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 17, 11, 17, 18, 2, 18, 6, 1, 15, 14, 2, 9, 19]"
5,-43418.0,-3400.0,-9873.790000000037,-9397.0,2601.0,89700,20.41885995864868,"[20, 19, 4, 14, 10, 3, 3, 9, 13, 14, 8, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 11, 12, 2, 9, 18, 10, 13, 6, 10, 9, 17, 5, 11, 17, 18, 2, 18, 6, 1, 15, 14, 2, 9, 19]"
6,-39906.0,-2898.0,-8225.810000000056,-7404.0,2562.82,89478,19.732173204421997,"[20, 19, 4, 14, 10, 3, 3, 9, 13, 14, 8, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 11, 5, 10, 17, 9, 1, 6, 7, 2, 9, 18, 10, 18, 10, 10, 9, 8, 7, 16, 17, 18, 2, 18, 6, 1, 15, 14, 2, 9, 19]"
7,-38402.0,-2396.0,-6608.290000000037,-5899.0,2511.24,89436,19.48526930809021,"[20, 19, 4, 14, 10, 3, 3, 9, 13, 14, 8, 13, 19, 18, 2, 11, 19, 18, 14, 15, 6, 10, 1, 4, 16, 5, 10, 9, 14, 13, 11, 12, 2, 9, 18, 10, 10, 9, 2, 1, 18, 5, 20, 13, 5, 2, 18, 6, 1, 15, 14, 2, 9, 19]"
8,-37913.0,-1399.0,-4276.630000000005,-3400.0,2165.76,89670,18.809741020202637,"[20, 19, 4, 14, 10, 3, 3, 9, 18, 17, 1, 13, 18, 17, 1, 11, 19, 18, 14, 15, 6, 10, 1, 1, 9, 1, 10, 2, 17, 5, 11, 12, 2, 9, 18, 10, 13, 6, 10, 9, 17, 18, 12, 14, 13, 2, 18, 6, 1, 15, 14, 2, 9, 19]"
9,-37400.0,-893.0,-3712.6500000000233,-2898.0,2291.09,89582,18.404571056365967,"[20, 19, 4, 14, 10, 3, 3, 9, 13, 14, 8, 13, 19, 18, 2, 11, 19, 18, 14, 15, 6, 10, 1, 4, 16, 5, 10, 9, 14, 13, 11, 12, 2, 9, 18, 10, 10, 9, 2, 1, 18, 5, 20, 5, 18, 2, 17, 6, 7, 17, 14, 13, 17, 6]"
