gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-78423.0,-15902.0,-32990.56999999995,-31911.0,7397.69,83320,10.732336521148682,"[6, 5, 16, 8, 11, 1, 12, 20, 17, 3, 8, 7, 16, 2, 10, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 8, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 4, 14, 17, 10, 5, 2, 7]"
1,-73916.0,-15404.0,-31873.47999999998,-30905.0,6922.96,83192,10.669794797897339,"[15, 5, 20, 10, 11, 3, 4, 11, 2, 1, 2, 1, 9, 3, 9, 13, 19, 19, 9, 6, 10, 5, 14, 12, 1, 14, 5, 15, 4, 15, 5, 18, 7, 10, 14, 6, 7, 19, 17, 10, 18, 9, 8, 15, 13, 17, 5, 2, 1, 13, 18, 6, 2, 10]"
2,-71920.0,-14406.0,-30876.920000000042,-29912.0,6493.08,83039,10.717565536499023,"[15, 5, 20, 10, 11, 3, 4, 11, 2, 1, 2, 1, 9, 3, 9, 13, 19, 19, 9, 6, 10, 5, 14, 12, 1, 14, 5, 14, 14, 15, 5, 18, 7, 10, 14, 6, 7, 19, 17, 10, 18, 9, 8, 15, 13, 17, 5, 2, 1, 13, 18, 6, 2, 10]"
3,-67922.0,-14406.0,-30089.060000000056,-28918.0,6172.07,82961,10.619910478591919,"[15, 5, 20, 10, 11, 3, 4, 11, 2, 1, 2, 1, 9, 3, 9, 13, 19, 19, 9, 6, 10, 5, 14, 12, 1, 14, 5, 14, 14, 15, 5, 18, 7, 10, 14, 6, 7, 19, 17, 10, 18, 9, 8, 15, 13, 17, 5, 2, 1, 13, 18, 6, 2, 10]"
4,-72933.0,-14406.0,-29350.81999999995,-28413.0,5831.54,83225,10.698042392730713,"[15, 5, 20, 10, 11, 3, 4, 11, 2, 1, 2, 1, 9, 3, 9, 13, 19, 19, 9, 6, 10, 5, 14, 12, 1, 14, 5, 14, 14, 15, 5, 18, 7, 10, 14, 6, 7, 19, 17, 10, 18, 9, 8, 15, 13, 17, 5, 2, 1, 13, 18, 6, 2, 10]"
5,-65926.0,-14406.0,-28932.780000000028,-27915.0,5707.55,83027,10.806506395339966,"[15, 5, 20, 10, 11, 3, 4, 11, 2, 1, 2, 1, 9, 3, 9, 13, 19, 19, 9, 6, 10, 5, 14, 12, 1, 14, 5, 14, 14, 15, 5, 18, 7, 10, 14, 6, 7, 19, 17, 10, 18, 9, 8, 15, 13, 17, 5, 2, 1, 13, 18, 6, 2, 10]"
6,-63932.0,-13907.0,-28388.47999999998,-27416.0,5501.31,83296,10.911096096038818,"[14, 4, 6, 3, 2, 9, 19, 5, 9, 17, 20, 2, 8, 16, 18, 18, 16, 6, 15, 12, 14, 3, 5, 19, 5, 1, 5, 15, 2, 13, 1, 3, 7, 14, 15, 17, 18, 14, 19, 10, 18, 10, 6, 11, 18, 10, 19, 11, 9, 20, 19, 7, 13, 7]"
7,-68428.0,-13907.0,-27913.109999999986,-26919.0,5303.53,83350,10.785444974899292,"[14, 4, 6, 3, 2, 9, 19, 5, 9, 17, 20, 2, 8, 16, 18, 18, 16, 6, 15, 12, 14, 3, 5, 19, 5, 1, 5, 15, 2, 13, 1, 3, 7, 14, 15, 17, 18, 14, 19, 10, 18, 10, 6, 11, 18, 10, 19, 11, 9, 20, 19, 7, 13, 7]"
8,-62418.0,-13412.0,-27587.849999999977,-26910.0,5218.33,83050,10.851884126663208,"[1, 15, 5, 18, 8, 2, 6, 15, 17, 9, 14, 6, 20, 13, 2, 18, 20, 10, 13, 20, 6, 4, 1, 5, 16, 10, 13, 5, 1, 2, 18, 19, 15, 2, 7, 18, 1, 14, 9, 18, 19, 12, 16, 6, 7, 10, 1, 13, 5, 7, 14, 15, 14, 5]"
9,-64424.0,-13412.0,-27251.780000000028,-26415.0,5121.53,83202,10.859656572341919,"[1, 15, 5, 18, 8, 2, 6, 15, 17, 9, 14, 6, 20, 13, 2, 18, 20, 10, 13, 20, 6, 4, 1, 5, 16, 10, 13, 5, 1, 2, 18, 19, 15, 2, 7, 18, 1, 14, 9, 18, 19, 12, 16, 6, 7, 10, 1, 13, 5, 7, 14, 15, 14, 5]"
