gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-77937.0,-15902.0,-32974.640000000014,-31910.0,7378.37,89964,11.457817792892456,"[6, 5, 16, 8, 11, 1, 12, 20, 17, 3, 8, 7, 16, 2, 10, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 8, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 4, 14, 17, 10, 5, 2, 7]"
1,-75925.0,-15406.0,-31881.56999999995,-30910.0,6911.35,90175,11.270503520965576,"[9, 18, 17, 11, 19, 4, 2, 20, 10, 4, 7, 14, 5, 20, 2, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 8, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 14, 15, 7, 17, 14, 1, 6]"
2,-71916.0,-15406.0,-30958.619999999995,-29914.0,6505.84,90237,11.340854406356812,"[9, 18, 17, 11, 19, 4, 2, 20, 10, 4, 7, 14, 5, 20, 2, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 8, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 14, 15, 7, 17, 14, 1, 6]"
3,-66926.0,-14903.0,-30147.420000000042,-28920.0,6166.34,89816,11.310638904571533,"[6, 5, 16, 8, 11, 1, 12, 20, 17, 3, 8, 7, 16, 2, 10, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 11, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 4, 14, 17, 10, 5, 2, 7]"
4,-67421.0,-13906.0,-29380.22999999998,-28415.0,5821.86,90090,11.280556201934814,"[11, 20, 9, 13, 5, 16, 16, 15, 14, 7, 2, 14, 3, 16, 14, 11, 19, 17, 19, 6, 5, 16, 14, 8, 12, 17, 18, 17, 4, 5, 16, 3, 3, 15, 1, 2, 9, 3, 10, 11, 2, 1, 6, 12, 20, 18, 13, 12, 18, 14, 5, 7, 13, 6]"
5,-68424.0,-13906.0,-28837.26000000001,-27914.0,5640.82,89941,11.669623374938965,"[11, 20, 9, 13, 5, 16, 16, 15, 14, 7, 2, 14, 3, 16, 14, 11, 19, 17, 19, 6, 5, 16, 14, 8, 12, 17, 18, 17, 4, 5, 16, 3, 3, 15, 1, 2, 9, 3, 10, 11, 2, 1, 6, 12, 20, 18, 13, 12, 18, 14, 5, 7, 13, 6]"
6,-69430.0,-13906.0,-28398.380000000005,-27416.0,5498.41,90010,11.493871927261353,"[11, 20, 9, 13, 5, 16, 16, 15, 14, 7, 2, 14, 3, 16, 14, 11, 19, 17, 19, 6, 5, 16, 14, 8, 12, 17, 18, 17, 4, 5, 16, 3, 3, 15, 1, 2, 9, 3, 10, 11, 2, 1, 6, 12, 20, 18, 13, 12, 18, 14, 5, 7, 13, 6]"
7,-67925.0,-13417.0,-28055.0,-26926.0,5390.91,89919,11.412013530731201,"[10, 3, 12, 20, 9, 19, 3, 10, 6, 19, 12, 2, 5, 18, 4, 15, 18, 18, 2, 1, 10, 7, 13, 13, 2, 2, 6, 14, 7, 19, 12, 17, 13, 4, 11, 19, 6, 17, 18, 5, 17, 18, 12, 20, 1, 14, 5, 19, 2, 16, 10, 20, 4, 19]"
8,-62424.0,-13417.0,-27705.75,-26912.0,5280.73,90067,11.465208053588867,"[10, 3, 12, 20, 9, 19, 3, 10, 6, 19, 12, 2, 5, 18, 4, 15, 18, 18, 2, 1, 10, 7, 13, 13, 2, 2, 6, 14, 7, 19, 12, 17, 13, 4, 11, 19, 6, 17, 18, 5, 17, 18, 12, 20, 1, 14, 5, 19, 2, 16, 10, 20, 4, 19]"
9,-68927.0,-12917.0,-27319.150000000023,-26416.0,5162.25,90161,11.598484754562378,"[5, 18, 14, 3, 19, 14, 4, 14, 10, 1, 15, 3, 8, 18, 20, 15, 16, 10, 19, 14, 5, 2, 20, 20, 4, 1, 10, 18, 5, 18, 9, 18, 9, 16, 11, 19, 6, 17, 18, 5, 17, 18, 15, 12, 11, 14, 5, 19, 5, 20, 3, 6, 14, 1]"
