gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-60418.0,-13907.0,-22516.530000000028,-21915.0,2994.04,81238,19.501840829849243,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 18, 5, 17, 17, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
1,-61914.0,-11402.0,-18937.099999999977,-18404.0,3130.2,81217,20.25332474708557,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 16, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 5, 12, 1, 6, 15, 9, 10, 17, 19, 9, 16, 7, 18, 2, 7, 8, 13, 14, 5, 20, 9, 10, 2, 10]"
2,-56420.0,-9397.0,-16163.76000000001,-15403.0,3143.02,81223,19.68002414703369,"[3, 11, 1, 15, 11, 1, 2, 1, 5, 18, 16, 7, 16, 2, 10, 7, 6, 19, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 6, 3, 15, 3, 18, 5, 5, 6, 17, 9, 18, 11, 12, 9, 17, 13, 18, 5, 9, 18, 14, 13, 15, 8]"
3,-59914.0,-6394.0,-14297.969999999972,-13404.0,3392.48,81352,20.00507926940918,"[14, 15, 3, 4, 19, 8, 16, 1, 5, 18, 16, 7, 16, 2, 10, 7, 6, 19, 2, 3, 6, 1, 10, 4, 13, 2, 6, 1, 16, 1, 13, 14, 9, 18, 15, 3, 15, 16, 1, 9, 10, 17, 2, 13, 2, 13, 2, 17, 12, 19, 5, 18, 3, 2]"
4,-51418.0,-6389.0,-12246.719999999972,-11400.0,3420.64,81322,19.593183755874634,"[5, 19, 10, 1, 15, 6, 14, 2, 18, 5, 3, 13, 11, 4, 2, 7, 17, 12, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 11, 16, 16, 1, 6, 5, 13, 2, 1, 10, 5, 18, 9, 18, 17, 2, 5, 6, 3, 12, 19, 18, 13, 14]"
5,-61916.0,-4392.0,-10452.75,-9400.0,3553.82,81073,19.57728123664856,"[10, 4, 17, 10, 11, 3, 14, 13, 13, 14, 19, 2, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 15, 3, 1, 12, 4, 15, 10, 17, 2, 1, 18, 5, 14, 18, 17, 2, 5, 6, 3, 12, 6, 16, 11, 18]"
6,-52404.0,-3891.0,-8978.160000000033,-7896.0,3708.29,81182,18.93622899055481,"[16, 7, 1, 15, 11, 3, 14, 13, 13, 14, 19, 2, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 6, 20, 12, 17, 3, 15, 13, 2, 1, 10, 5, 18, 9, 18, 17, 2, 5, 6, 18, 17, 5, 2, 2, 3]"
7,-48911.0,-2888.0,-7869.369999999995,-6406.0,3883.53,81088,19.011549949645996,"[16, 7, 1, 15, 9, 2, 14, 13, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 15, 3, 1, 12, 4, 15, 10, 17, 2, 1, 18, 5, 14, 18, 17, 2, 5, 6, 18, 17, 12, 20, 4, 3]"
8,-51416.0,-1886.0,-6348.030000000028,-4893.0,3947.8,81434,18.69046926498413,"[16, 7, 1, 15, 9, 2, 14, 13, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 15, 3, 6, 17, 3, 15, 10, 17, 2, 1, 5, 18, 9, 18, 17, 2, 5, 6, 18, 17, 12, 20, 4, 3]"
9,-58409.0,-1386.0,-5322.180000000051,-3892.0,3967.59,81069,18.732340335845947,"[16, 7, 1, 15, 9, 2, 14, 13, 13, 14, 3, 10, 16, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 5, 10, 9, 13, 14, 19, 20, 6, 17, 3, 15, 10, 17, 2, 1, 5, 18, 9, 18, 17, 2, 5, 6, 18, 17, 12, 20, 4, 3]"
10,-51417.0,-894.0,-3879.1500000000233,-2391.0,3845.31,81108,18.19384264945984,"[18, 19, 1, 15, 9, 2, 14, 13, 13, 14, 3, 10, 16, 4, 2, 11, 4, 8, 5, 20, 6, 10, 1, 14, 4, 5, 10, 9, 14, 13, 11, 12, 6, 7, 6, 5, 13, 2, 1, 10, 5, 18, 2, 18, 17, 2, 5, 6, 3, 12, 19, 18, 11, 3]"
11,-52404.0,-889.0,-2987.819999999949,-1886.0,3607.81,80977,18.261281490325928,"[16, 7, 1, 15, 9, 2, 14, 13, 13, 14, 3, 10, 16, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 5, 10, 9, 13, 14, 19, 20, 6, 17, 3, 15, 10, 17, 2, 1, 5, 18, 9, 18, 17, 2, 5, 6, 18, 17, 12, 2, 11, 3]"
12,-52405.0,-888.0,-2684.1199999999953,-1386.0,3817.17,81388,18.28572368621826,"[16, 7, 1, 15, 9, 2, 14, 13, 13, 14, 3, 10, 16, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 5, 10, 9, 13, 14, 19, 20, 6, 17, 3, 15, 10, 17, 2, 1, 5, 18, 9, 18, 17, 2, 5, 6, 18, 17, 12, 2, 4, 3]"
13,-47406.0,-887.0,-3011.180000000051,-1384.0,4145.84,81330,18.300425052642822,"[6, 5, 10, 4, 11, 3, 14, 13, 13, 14, 16, 2, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 5, 10, 9, 14, 13, 19, 20, 8, 7, 3, 15, 10, 17, 2, 1, 5, 18, 9, 18, 17, 2, 5, 6, 18, 17, 12, 2, 11, 3]"
14,-50404.0,-886.0,-1899.5899999999674,-889.0,3522.58,80882,17.9682195186615,"[16, 7, 4, 15, 9, 2, 14, 13, 13, 14, 3, 10, 16, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 5, 10, 9, 14, 13, 19, 20, 6, 17, 3, 15, 10, 17, 2, 1, 18, 5, 8, 18, 17, 2, 5, 6, 18, 17, 12, 2, 4, 3]"
15,-54905.0,-886.0,-2082.2399999999907,-888.0,3801.44,81267,18.11459732055664,"[16, 7, 4, 15, 9, 2, 14, 13, 13, 14, 3, 10, 16, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 5, 10, 9, 14, 13, 19, 20, 6, 17, 3, 15, 10, 17, 2, 1, 18, 5, 8, 18, 17, 2, 5, 6, 18, 17, 12, 2, 4, 3]"
16,-44402.0,-884.0,-2144.469999999972,-887.0,3820.77,81272,18.206913709640503,"[16, 7, 4, 15, 9, 2, 14, 13, 13, 14, 3, 10, 3, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 5, 10, 9, 13, 14, 19, 20, 6, 17, 16, 15, 10, 17, 2, 1, 18, 5, 8, 18, 17, 2, 5, 6, 18, 17, 12, 2, 4, 3]"
17,-47914.0,-884.0,-2144.079999999958,-886.0,3861.29,81286,18.133983612060547,"[16, 7, 4, 15, 9, 2, 14, 13, 13, 14, 3, 10, 3, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 5, 10, 9, 13, 14, 19, 20, 6, 17, 16, 15, 10, 17, 2, 1, 18, 5, 8, 18, 17, 2, 5, 6, 18, 17, 12, 2, 4, 3]"
