gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-59928.0,-13406.0,-22496.890000000014,-21915.0,2982.92,81538,19.627545595169067,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 3, 9, 17, 9, 3, 11, 2, 10, 3, 5, 11, 6, 13, 10, 9, 18, 13, 19, 4, 16, 8, 13, 3, 8, 7, 7, 20, 17, 8, 2, 5, 19, 1, 14, 10, 7, 6, 15, 5, 15, 14, 2, 10]"
1,-53932.0,-11400.0,-18929.81999999995,-18403.0,3137.69,81467,20.32903218269348,"[9, 10, 16, 3, 3, 17, 2, 3, 2, 10, 1, 14, 8, 19, 10, 7, 13, 7, 20, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 16, 17, 8, 19, 11, 5, 17, 1, 13, 2, 10, 18, 9, 14, 8, 19, 9, 15, 19, 10, 17, 14, 5]"
2,-55923.0,-8402.0,-16186.180000000051,-15406.0,3250.6,81299,20.276059865951538,"[10, 18, 7, 14, 9, 2, 20, 8, 1, 5, 3, 13, 11, 18, 5, 4, 15, 11, 19, 6, 17, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 6, 3, 16, 6, 6, 18, 2, 9, 1, 13, 7, 2, 14, 14, 13, 6, 12, 18, 17, 5, 19, 10]"
3,-54413.0,-6395.0,-13786.880000000005,-12905.0,3373.99,81122,20.11521553993225,"[18, 19, 10, 20, 1, 11, 2, 3, 2, 10, 1, 14, 4, 3, 10, 5, 15, 11, 20, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 16, 17, 8, 19, 11, 5, 17, 1, 13, 2, 10, 18, 9, 14, 6, 1, 13, 12, 13, 6, 14, 2, 10]"
4,-54922.0,-5399.0,-11566.209999999963,-10409.0,3416.42,81203,19.885831117630005,"[18, 19, 10, 20, 1, 11, 2, 3, 2, 10, 1, 14, 4, 3, 10, 5, 15, 11, 20, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 16, 17, 8, 19, 11, 6, 18, 2, 9, 1, 13, 7, 2, 14, 6, 1, 13, 12, 13, 6, 14, 2, 10]"
5,-55919.0,-4894.0,-9367.75,-8401.0,3305.46,81251,19.31472897529602,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 7, 15, 2, 9, 3, 10, 14, 13, 12, 6, 17, 18, 10, 3, 14, 1, 14, 18, 17, 7, 16, 17, 8, 19, 11, 5, 17, 1, 13, 2, 10, 18, 9, 14, 7, 5, 13, 17, 5, 15, 14, 2, 10]"
6,-52916.0,-3393.0,-7337.439999999944,-6397.0,3157.13,81105,18.567260026931763,"[18, 19, 13, 5, 9, 10, 1, 10, 1, 13, 1, 14, 8, 19, 10, 7, 13, 7, 20, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 16, 17, 8, 19, 11, 5, 18, 2, 9, 1, 10, 18, 5, 6, 6, 1, 13, 20, 5, 15, 14, 2, 10]"
7,-55917.0,-2888.0,-6302.439999999944,-5396.0,3288.12,80993,18.38339924812317,"[18, 19, 3, 12, 2, 13, 2, 10, 17, 9, 1, 14, 8, 19, 10, 7, 15, 11, 20, 15, 18, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 16, 17, 8, 19, 11, 5, 17, 1, 13, 2, 10, 18, 14, 1, 6, 1, 13, 20, 5, 6, 14, 2, 10]"
8,-48913.0,-1391.0,-5301.540000000037,-4393.0,3413.83,81104,18.534747838974,"[18, 19, 10, 20, 1, 11, 2, 1, 13, 5, 7, 15, 2, 13, 1, 12, 3, 12, 2, 6, 6, 17, 18, 10, 3, 10, 6, 14, 18, 17, 7, 16, 17, 8, 19, 11, 5, 17, 2, 9, 1, 10, 18, 1, 14, 7, 5, 13, 17, 5, 15, 14, 2, 10]"
9,-52420.0,-889.0,-4435.329999999958,-3392.0,3515.6,81076,18.270029306411743,"[18, 19, 3, 12, 2, 13, 2, 10, 17, 9, 1, 14, 8, 19, 10, 7, 15, 11, 20, 15, 18, 12, 11, 10, 3, 14, 1, 14, 18, 17, 7, 16, 17, 8, 19, 11, 5, 17, 1, 13, 2, 10, 18, 1, 14, 6, 2, 13, 20, 5, 6, 14, 2, 10]"
10,-49911.0,-887.0,-3516.829999999958,-2391.0,3644.38,81174,18.4186007976532,"[18, 19, 3, 12, 2, 13, 2, 10, 17, 9, 1, 14, 8, 19, 10, 7, 15, 11, 20, 15, 18, 12, 11, 10, 3, 14, 1, 14, 18, 17, 7, 16, 17, 8, 19, 11, 5, 17, 1, 13, 2, 10, 18, 1, 13, 14, 5, 6, 20, 5, 6, 14, 2, 10]"
