,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,------
08:50,------,------,------,------,------
10:00,------,------,------,------,------
10:50,------,------,------,------,------
11:40,------,------,------,------,------
13:30,------,------,------,------,------
14:20,------,------,------,------,------
15:30,  apc ,------,------,  apc ,------
16:20,  apc ,------,------,  apc ,------
17:10,------,------,------,------,------
