,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,------
08:50,------,------,------,------,------
10:00,------,------,------,  cd  ,------
10:50,------,------,------,  cd  ,------
11:40,------,------,------,------,------
13:30,  cd  ,------,------,------,------
14:20,  cd  ,------,------,------,------
15:30,------,------,------,------,------
16:20,------,------,------,------,------
17:10,------,------,------,------,------
