,Segunda,Terça,Quarta,Quinta,Sexta
08:00, cacl2, pc1b , cacl2,------,  ac  
08:50, cacl2, pc1b , cacl2,------,  ac  
10:00,  cn  , igtb ,  cn  ,------,  ac  
10:50,  cn  , igtb ,  cn  ,------,  ac  
11:40,------,------,------,------,------
13:30,  md  ,------,  md  , igta , pc1a 
14:20,  md  ,------,  md  , igta , pc1a 
15:30,------,------,  fe  , pc1b , pc1a 
16:20,------,------,  fe  , pc1b , pc1a 
17:10,------,------,  fe  ,------,------
