,Segunda,Terça,Quarta,Quinta,Sexta
08:00,  pe2 ,------,------,  pe2 ,  pe1 
08:50,  pe2 ,------,------,  pe2 ,  pe1 
10:00,  nte ,------,------,------,  pe1 
10:50,  nte ,------,------,------,  pe1 
11:40,------,------,------,------,------
13:30,------,------,------,------,------
14:20,------,------,------,------,------
15:30,------,------,------,------,------
16:20,------,------,------,------,------
17:10,------,------,------,------,------
