,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,------
08:50,------,------,------,------,------
10:00,------,------,------,  cd  ,------
10:50,------,------,------,  cd  ,------
11:40,------,------,------,------,------
13:30,  cd  ,  tc  ,  pc3 , engs1,  so  
14:20,  cd  ,  tc  ,  pc3 , engs1,  so  
15:30, engs1,  tc  ,  pc3 , pedu ,  so  
16:20, engs1,  tc  ,  pc3 , pedu ,  so  
17:10,------,------,------, pedu ,------
