,Segunda,Terça,Quarta,Quinta,Sexta
08:00,  pe2 ,------,------,  pe2 ,  pe4 
08:50,  pe2 ,------,------,  pe2 ,  pe4 
10:00,------,------,------,------,  pe4 
10:50,------,------,------,------,  pe4 
11:40,------,------,------,------,------
13:30,------,------,------,------,------
14:20,------,------,------,------,------
15:30,------,------,------, pedu ,------
16:20,------,------,------, pedu ,------
17:10,------,------,------, pedu ,------
