,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------, opt4 
08:50,------,------,------,------, opt4 
10:00,------,------,------,  rc2 , opt4 
10:50,------,------,------,  rc2 , opt4 
11:40,------,------,------,  rc2 ,------
13:30,------,------,  pc3 , engs1,------
14:20,------,------,  pc3 , engs1,------
15:30, engs1,------,  pc3 ,------,------
16:20, engs1,------,  pc3 ,------,------
17:10,------,------,------,------,------
