,Segunda,Terça,Quarta,Quinta,Sexta
08:00,  sc  ,  pp  ,------,  pp  , opt4 
08:50,  sc  ,  pp  ,------,  pp  , opt4 
10:00,  sc  ,------,------,------, opt4 
10:50,  sc  ,------,------,------, opt4 
11:40,------,------,------,------,------
13:30,------,------,------,------, pc1a 
14:20,------,------,------,------, pc1a 
15:30,------,------,------,------, pc1a 
16:20,------,------,------,------, pc1a 
17:10,------,------,------,------,------
