,Segunda,Terça,Quarta,Quinta,Sexta
08:00,------,------,------,------,------
08:50,------,------,------,------,------
10:00,------, igtb ,------,------,------
10:50,------, igtb ,------,------,------
11:40,------,------,------,------,------
13:30,------,------,------, igta ,------
14:20,------,------,------, igta ,------
15:30,------,------,------,------,------
16:20,------,------,------,------,------
17:10,------,------,------,------,------
