gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-81916.0,-15902.0,-33022.79000000004,-31912.0,7413.24,81479,10.548385620117188,"[6, 5, 16, 8, 11, 1, 12, 20, 17, 3, 8, 7, 16, 2, 10, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 8, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 4, 14, 17, 10, 5, 2, 7]"
1,-75434.0,-15901.0,-31939.339999999967,-30912.0,6976.13,81522,10.565459728240967,"[19, 14, 6, 16, 11, 3, 19, 15, 18, 11, 14, 2, 13, 3, 1, 7, 6, 19, 3, 13, 18, 8, 19, 1, 20, 7, 7, 17, 5, 15, 8, 13, 4, 9, 4, 13, 12, 20, 1, 14, 14, 5, 18, 14, 6, 10, 9, 2, 5, 13, 15, 14, 16, 5]"
2,-72421.0,-14908.0,-30944.949999999953,-29914.0,6569.52,81382,10.551588535308838,"[7, 15, 10, 1, 2, 12, 6, 4, 16, 2, 1, 9, 11, 4, 17, 6, 19, 16, 19, 14, 14, 8, 15, 20, 10, 1, 14, 6, 16, 15, 1, 2, 12, 16, 11, 6, 6, 9, 18, 13, 9, 8, 14, 11, 19, 12, 18, 13, 2, 15, 10, 4, 10, 1]"
3,-76431.0,-14908.0,-30130.810000000056,-28919.0,6211.29,81011,10.499413967132568,"[7, 15, 10, 1, 2, 12, 6, 4, 16, 2, 1, 9, 11, 4, 17, 6, 19, 16, 19, 14, 14, 8, 15, 20, 10, 1, 14, 6, 16, 15, 1, 2, 12, 16, 11, 6, 6, 9, 18, 13, 9, 8, 14, 11, 19, 12, 18, 13, 2, 15, 10, 4, 10, 1]"
4,-67425.0,-13908.0,-29520.280000000028,-28417.0,5955.63,81324,10.511242389678955,"[12, 20, 20, 19, 11, 17, 18, 19, 7, 15, 4, 13, 12, 2, 18, 2, 12, 11, 5, 2, 9, 10, 9, 13, 7, 6, 14, 10, 15, 14, 16, 3, 7, 11, 4, 5, 19, 12, 10, 18, 5, 9, 16, 18, 12, 1, 1, 2, 4, 12, 3, 15, 5, 17]"
5,-63421.0,-13908.0,-28885.540000000037,-27915.0,5685.17,81051,10.632720470428467,"[12, 20, 20, 19, 11, 17, 18, 19, 7, 15, 4, 13, 12, 2, 18, 2, 12, 11, 5, 2, 9, 10, 9, 13, 7, 6, 14, 10, 15, 14, 16, 3, 7, 11, 4, 5, 19, 12, 10, 18, 5, 9, 16, 18, 12, 1, 1, 2, 4, 12, 3, 15, 5, 17]"
6,-80424.0,-13908.0,-28299.300000000047,-27414.0,5483.44,81476,10.814566850662231,"[12, 20, 20, 19, 11, 17, 18, 19, 7, 15, 4, 13, 12, 2, 18, 2, 12, 11, 5, 2, 9, 10, 9, 13, 7, 6, 14, 10, 15, 14, 16, 3, 7, 11, 4, 5, 19, 12, 10, 18, 5, 9, 16, 18, 12, 1, 1, 2, 4, 12, 3, 15, 5, 17]"
7,-73423.0,-13904.0,-28040.140000000014,-26921.0,5437.69,81014,10.460161447525024,"[14, 19, 6, 14, 20, 18, 4, 8, 14, 5, 10, 9, 12, 4, 10, 18, 7, 17, 6, 1, 19, 17, 18, 16, 14, 18, 18, 5, 5, 6, 17, 3, 9, 3, 14, 19, 13, 14, 14, 13, 1, 9, 8, 16, 15, 2, 14, 11, 10, 3, 5, 6, 2, 1]"
8,-72925.0,-13395.0,-27754.869999999995,-26913.0,5373.14,81225,10.425682306289673,"[17, 13, 12, 20, 13, 16, 3, 4, 6, 9, 6, 10, 12, 19, 15, 14, 1, 20, 18, 19, 17, 9, 13, 12, 17, 7, 6, 10, 17, 5, 11, 4, 17, 7, 11, 2, 14, 2, 10, 9, 5, 14, 18, 5, 2, 16, 18, 2, 19, 20, 14, 15, 1, 13]"
9,-65919.0,-13395.0,-27485.189999999944,-26420.0,5319.07,81289,10.640576601028442,"[17, 13, 12, 20, 13, 16, 3, 4, 6, 9, 6, 10, 12, 19, 15, 14, 1, 20, 18, 19, 17, 9, 13, 12, 17, 7, 6, 10, 17, 5, 11, 4, 17, 7, 11, 2, 14, 2, 10, 9, 5, 14, 18, 5, 2, 16, 18, 2, 19, 20, 14, 15, 1, 13]"
10,-68917.0,-13395.0,-27130.97999999998,-26411.0,5219.86,81247,10.701704502105713,"[17, 13, 12, 20, 13, 16, 3, 4, 6, 9, 6, 10, 12, 19, 15, 14, 1, 20, 18, 19, 17, 9, 13, 12, 17, 7, 6, 10, 17, 5, 11, 4, 17, 7, 11, 2, 14, 2, 10, 9, 5, 14, 18, 5, 2, 16, 18, 2, 19, 20, 14, 15, 1, 13]"
11,-63911.0,-13395.0,-26864.47999999998,-25918.0,5163.53,80898,10.794507265090942,"[17, 13, 12, 20, 13, 16, 3, 4, 6, 9, 6, 10, 12, 19, 15, 14, 1, 20, 18, 19, 17, 9, 13, 12, 17, 7, 6, 10, 17, 5, 11, 4, 17, 7, 11, 2, 14, 2, 10, 9, 5, 14, 18, 5, 2, 16, 18, 2, 19, 20, 14, 15, 1, 13]"
12,-64920.0,-13395.0,-26563.02000000002,-25911.0,5090.1,81106,10.612574577331543,"[17, 13, 12, 20, 13, 16, 3, 4, 6, 9, 6, 10, 12, 19, 15, 14, 1, 20, 18, 19, 17, 9, 13, 12, 17, 7, 6, 10, 17, 5, 11, 4, 17, 7, 11, 2, 14, 2, 10, 9, 5, 14, 18, 5, 2, 16, 18, 2, 19, 20, 14, 15, 1, 13]"
13,-61426.0,-11901.0,-26324.68000000005,-25418.0,5046.2,81144,10.57938528060913,"[11, 5, 10, 20, 18, 12, 10, 4, 6, 2, 14, 7, 1, 7, 13, 11, 10, 7, 20, 2, 18, 19, 18, 10, 3, 5, 9, 18, 7, 15, 13, 6, 16, 9, 9, 20, 18, 9, 1, 19, 18, 10, 15, 17, 2, 5, 5, 6, 3, 14, 19, 8, 10, 17]"
14,-63925.0,-11901.0,-26052.98999999999,-25411.0,4981.15,81228,10.71161150932312,"[11, 5, 10, 20, 18, 12, 10, 4, 6, 2, 14, 7, 1, 7, 13, 11, 10, 7, 20, 2, 18, 19, 18, 10, 3, 5, 9, 18, 7, 15, 13, 6, 16, 9, 9, 20, 18, 9, 1, 19, 18, 10, 15, 17, 2, 5, 5, 6, 3, 14, 19, 8, 10, 17]"
15,-62915.0,-11406.0,-25862.56999999995,-24922.0,4981.8,81191,10.874375581741333,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 14, 2, 1, 9, 14, 1, 20, 19, 15, 18, 7, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 16, 1]"
16,-62425.0,-11406.0,-25671.189999999944,-24915.0,4960.91,81010,10.571547269821167,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 14, 2, 1, 9, 14, 1, 20, 19, 15, 18, 7, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 16, 1]"
17,-59932.0,-10903.0,-25492.06999999995,-24910.0,4964.2,81237,10.706287145614624,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 14, 2, 1, 9, 14, 1, 20, 19, 15, 18, 11, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 16, 1]"
18,-62919.0,-10903.0,-25309.310000000056,-24419.0,4953.4,81417,10.579504251480103,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 14, 2, 1, 9, 14, 1, 20, 19, 15, 18, 11, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 16, 1]"
19,-62415.0,-10903.0,-25144.170000000042,-24414.0,4957.66,81097,10.619860887527466,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 14, 2, 1, 9, 14, 1, 20, 19, 15, 18, 11, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 16, 1]"
20,-64927.0,-10903.0,-25014.439999999944,-24411.0,4954.66,81401,10.706655025482178,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 14, 2, 1, 9, 14, 1, 20, 19, 15, 18, 11, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 16, 1]"
21,-60914.0,-10405.0,-24916.310000000056,-24408.0,4976.97,81136,10.824597120285034,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 17, 8, 14, 1, 14, 1, 20, 19, 15, 18, 7, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 15, 2, 14, 11, 10, 3, 5, 6, 16, 1]"
22,-57922.0,-10405.0,-24738.780000000028,-23916.0,4961.43,81293,10.573902130126953,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 17, 8, 14, 1, 14, 1, 20, 19, 15, 18, 7, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 15, 2, 14, 11, 10, 3, 5, 6, 16, 1]"
23,-61423.0,-10405.0,-24494.300000000047,-23911.0,4903.2,81118,10.721142530441284,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 17, 8, 14, 1, 14, 1, 20, 19, 15, 18, 7, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 15, 2, 14, 11, 10, 3, 5, 6, 16, 1]"
24,-64417.0,-10405.0,-24374.060000000056,-23907.0,4925.7,81367,10.594332456588745,"[11, 18, 12, 5, 6, 18, 19, 20, 10, 17, 13, 17, 8, 14, 1, 14, 1, 20, 19, 15, 18, 7, 19, 14, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 15, 2, 14, 11, 10, 3, 5, 6, 16, 1]"
25,-60934.0,-9901.0,-24298.48999999999,-23420.0,4957.05,81405,10.817836999893188,"[18, 5, 3, 9, 11, 3, 11, 5, 13, 2, 1, 15, 15, 5, 13, 11, 9, 10, 2, 17, 6, 17, 1, 20, 5, 5, 10, 18, 2, 14, 19, 20, 16, 12, 7, 5, 13, 3, 1, 11, 13, 5, 15, 13, 1, 6, 7, 18, 10, 2, 3, 14, 12, 11]"
26,-60412.0,-9404.0,-24187.640000000014,-23416.0,4975.35,80991,10.654368877410889,"[18, 17, 12, 4, 2, 9, 7, 14, 18, 17, 13, 19, 19, 12, 13, 8, 18, 14, 13, 6, 14, 13, 1, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 1, 13]"
27,-62427.0,-9404.0,-24065.079999999958,-23412.0,5002.29,81204,10.789837121963501,"[18, 17, 12, 4, 2, 9, 7, 14, 18, 17, 13, 19, 19, 12, 13, 8, 18, 14, 13, 6, 14, 13, 1, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 1, 13]"
28,-68416.0,-9404.0,-23951.339999999967,-23408.0,5030.74,81280,10.545023918151855,"[18, 17, 12, 4, 2, 9, 7, 14, 18, 17, 13, 19, 19, 12, 13, 8, 18, 14, 13, 6, 14, 13, 1, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 1, 13]"
29,-63924.0,-9404.0,-23966.06999999995,-23408.5,5084.94,81187,10.726936340332031,"[18, 17, 12, 4, 2, 9, 7, 14, 18, 17, 13, 19, 19, 12, 13, 8, 18, 14, 13, 6, 14, 13, 1, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 1, 13]"
30,-58921.0,-9404.0,-23854.050000000047,-22927.5,5072.7,81269,10.683733463287354,"[18, 17, 12, 4, 2, 9, 7, 14, 18, 17, 13, 19, 19, 12, 13, 8, 18, 14, 13, 6, 14, 13, 1, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 1, 13]"
31,-66920.0,-8900.0,-23665.890000000014,-22914.0,5033.94,81170,10.74509072303772,"[18, 17, 4, 12, 2, 9, 7, 14, 10, 9, 8, 15, 16, 6, 10, 6, 11, 7, 3, 1, 10, 14, 17, 16, 4, 17, 14, 6, 16, 15, 1, 2, 7, 8, 10, 14, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 19, 20, 14, 15, 1, 13]"
32,-62920.0,-8409.0,-23631.150000000023,-22912.0,5085.41,81152,10.667364358901978,"[7, 10, 8, 13, 11, 19, 4, 19, 9, 10, 20, 9, 12, 4, 10, 18, 7, 10, 6, 1, 6, 10, 18, 16, 14, 5, 2, 14, 12, 1, 5, 20, 15, 4, 17, 9, 9, 10, 14, 13, 1, 9, 8, 16, 15, 2, 14, 11, 14, 6, 19, 8, 18, 17]"
33,-66916.0,-8409.0,-23535.73999999999,-22910.0,5097.73,80941,10.738449573516846,"[7, 10, 8, 13, 11, 19, 4, 19, 9, 10, 20, 9, 12, 4, 10, 18, 7, 10, 6, 1, 6, 10, 18, 16, 14, 5, 2, 14, 12, 1, 5, 20, 15, 4, 17, 9, 9, 10, 14, 13, 1, 9, 8, 16, 15, 2, 14, 11, 14, 6, 19, 8, 18, 17]"
34,-69923.0,-8405.0,-23500.800000000047,-22908.0,5130.28,81317,10.528625011444092,"[20, 19, 12, 19, 2, 11, 4, 3, 13, 15, 3, 10, 15, 4, 18, 2, 1, 12, 13, 18, 2, 7, 14, 4, 9, 6, 10, 9, 13, 8, 8, 19, 4, 16, 16, 4, 5, 13, 14, 18, 1, 2, 12, 11, 18, 6, 13, 5, 8, 7, 20, 15, 17, 5]"
35,-60916.0,-8405.0,-23489.48999999999,-22907.0,5201.95,81082,10.680433511734009,"[20, 19, 12, 19, 2, 11, 4, 3, 13, 15, 3, 10, 15, 4, 18, 2, 1, 12, 13, 18, 2, 7, 14, 4, 9, 6, 10, 9, 13, 8, 8, 19, 4, 16, 16, 4, 5, 13, 14, 18, 1, 2, 12, 11, 18, 6, 13, 5, 8, 7, 20, 15, 17, 5]"
36,-60425.0,-8405.0,-23319.920000000042,-22417.0,5152.29,81289,10.841959714889526,"[20, 19, 12, 19, 2, 11, 4, 3, 13, 15, 3, 10, 15, 4, 18, 2, 1, 12, 13, 18, 2, 7, 14, 4, 9, 6, 10, 9, 13, 8, 8, 19, 4, 16, 16, 4, 5, 13, 14, 18, 1, 2, 12, 11, 18, 6, 13, 5, 8, 7, 20, 15, 17, 5]"
37,-67920.0,-8400.0,-23170.969999999972,-22414.0,5146.44,81190,10.598612308502197,"[8, 14, 15, 16, 19, 10, 6, 15, 14, 5, 15, 1, 15, 6, 10, 2, 1, 18, 4, 3, 6, 9, 13, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 16, 5, 18, 18, 5, 17, 7, 10, 2, 11, 18, 17, 4, 3, 11, 7, 14, 12, 17, 18, 17]"
38,-60424.0,-8400.0,-23115.640000000014,-22412.0,5181.06,81080,10.77043342590332,"[8, 14, 15, 16, 19, 10, 6, 15, 14, 5, 15, 1, 15, 6, 10, 2, 1, 18, 4, 3, 6, 9, 13, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 16, 5, 18, 18, 5, 17, 7, 10, 2, 11, 18, 17, 4, 3, 11, 7, 14, 12, 17, 18, 17]"
39,-66934.0,-8400.0,-22998.619999999995,-22409.0,5191.08,80913,10.596290588378906,"[8, 14, 15, 16, 19, 10, 6, 15, 14, 5, 15, 1, 15, 6, 10, 2, 1, 18, 4, 3, 6, 9, 13, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 16, 5, 18, 18, 5, 17, 7, 10, 2, 11, 18, 17, 4, 3, 11, 7, 14, 12, 17, 18, 17]"
40,-59429.0,-8400.0,-22953.93000000005,-22407.0,5207.85,81300,10.782874584197998,"[8, 14, 15, 16, 19, 10, 6, 15, 14, 5, 15, 1, 15, 6, 10, 2, 1, 18, 4, 3, 6, 9, 13, 4, 14, 13, 17, 18, 7, 6, 2, 16, 7, 16, 5, 18, 18, 5, 17, 7, 10, 2, 11, 18, 17, 4, 3, 11, 7, 14, 12, 17, 18, 17]"
41,-60928.0,-7898.0,-22765.48999999999,-21917.0,5168.83,81409,10.547009229660034,"[18, 17, 12, 4, 2, 9, 7, 14, 18, 17, 13, 19, 19, 12, 13, 8, 18, 14, 13, 6, 10, 9, 10, 10, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 1, 13]"
42,-68422.0,-7898.0,-22661.109999999986,-21914.0,5167.23,81031,10.677766799926758,"[18, 17, 12, 4, 2, 9, 7, 14, 18, 17, 13, 19, 19, 12, 13, 8, 18, 14, 13, 6, 10, 9, 10, 10, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 1, 13]"
43,-58916.0,-7898.0,-22708.780000000028,-21914.0,5250.22,81304,10.778767585754395,"[18, 17, 12, 4, 2, 9, 7, 14, 18, 17, 13, 19, 19, 12, 13, 8, 18, 14, 13, 6, 10, 9, 10, 10, 20, 14, 17, 18, 7, 6, 2, 16, 7, 8, 17, 5, 1, 13, 12, 11, 13, 5, 15, 3, 20, 2, 17, 18, 15, 8, 12, 4, 1, 13]"
44,-59421.0,-7897.0,-22547.910000000033,-21910.0,5214.94,81289,10.664202690124512,"[7, 8, 10, 17, 1, 13, 13, 7, 6, 18, 4, 14, 15, 6, 10, 2, 7, 10, 6, 15, 5, 17, 9, 20, 5, 16, 2, 1, 14, 15, 12, 19, 3, 11, 5, 19, 9, 17, 5, 13, 1, 9, 8, 16, 15, 10, 5, 13, 15, 6, 13, 14, 11, 12]"
45,-64415.0,-7398.0,-22386.93000000005,-21906.0,5203.57,81337,10.710194826126099,"[7, 8, 10, 17, 1, 13, 13, 7, 6, 18, 4, 14, 15, 6, 10, 2, 7, 10, 6, 15, 5, 17, 9, 20, 5, 16, 2, 1, 14, 15, 12, 19, 3, 11, 5, 9, 5, 13, 15, 7, 18, 9, 8, 16, 15, 10, 5, 13, 15, 6, 13, 14, 11, 12]"
46,-61923.0,-7398.0,-22371.390000000014,-21903.0,5240.87,81002,10.619334936141968,"[7, 8, 10, 17, 1, 13, 13, 7, 6, 18, 4, 14, 15, 6, 10, 2, 7, 10, 6, 15, 5, 17, 9, 20, 5, 16, 2, 1, 14, 15, 12, 19, 3, 11, 5, 9, 5, 13, 15, 7, 18, 9, 8, 16, 15, 10, 5, 13, 15, 6, 13, 14, 11, 12]"
47,-60920.0,-7398.0,-22273.68000000005,-21416.5,5258.2,81228,10.806615352630615,"[7, 8, 10, 17, 1, 13, 13, 7, 6, 18, 4, 14, 15, 6, 10, 2, 7, 10, 6, 15, 5, 17, 9, 20, 5, 16, 2, 1, 14, 15, 12, 19, 3, 11, 5, 9, 5, 13, 15, 7, 18, 9, 8, 16, 15, 10, 5, 13, 15, 6, 13, 14, 11, 12]"
48,-58927.0,-7398.0,-22170.23999999999,-21413.0,5246.28,81064,10.750184774398804,"[7, 8, 10, 17, 1, 13, 13, 7, 6, 18, 4, 14, 15, 6, 10, 2, 7, 10, 6, 15, 5, 17, 9, 20, 5, 16, 2, 1, 14, 15, 12, 19, 3, 11, 5, 9, 5, 13, 15, 7, 18, 9, 8, 16, 15, 10, 5, 13, 15, 6, 13, 14, 11, 12]"
