gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-82427.0,-16400.0,-33085.72999999998,-31915.0,7454.02,91160,11.60959792137146,"[7, 20, 7, 12, 10, 13, 15, 1, 15, 17, 7, 19, 4, 10, 2, 3, 6, 18, 2, 6, 10, 5, 19, 3, 14, 19, 18, 14, 17, 13, 6, 3, 16, 8, 5, 2, 20, 12, 16, 3, 13, 2, 13, 2, 15, 18, 3, 14, 2, 1, 9, 4, 13, 14]"
1,-78925.0,-14904.0,-32079.51000000001,-30915.0,7053.8,91144,11.552652835845947,"[6, 16, 6, 17, 19, 5, 17, 12, 5, 13, 4, 11, 5, 2, 13, 18, 10, 12, 1, 10, 1, 12, 11, 7, 15, 9, 12, 20, 18, 2, 4, 3, 18, 6, 7, 19, 5, 13, 14, 12, 14, 1, 18, 20, 7, 4, 15, 5, 15, 8, 12, 1, 17, 6]"
2,-72925.0,-14410.0,-31230.900000000023,-29920.0,6707.25,91102,11.49000358581543,"[11, 18, 16, 6, 4, 10, 3, 4, 5, 15, 3, 19, 3, 2, 17, 2, 9, 11, 12, 1, 14, 3, 16, 14, 15, 6, 2, 9, 2, 6, 9, 2, 1, 15, 18, 12, 2, 10, 15, 9, 5, 18, 4, 5, 14, 6, 7, 6, 15, 10, 11, 18, 8, 7]"
3,-72917.0,-14410.0,-30499.76000000001,-29414.0,6393.28,91069,11.373997688293457,"[11, 18, 16, 6, 4, 10, 3, 4, 5, 15, 3, 19, 3, 2, 17, 2, 9, 11, 12, 1, 14, 3, 16, 14, 15, 6, 2, 9, 2, 6, 9, 2, 1, 15, 18, 12, 2, 10, 15, 9, 5, 18, 4, 5, 14, 6, 7, 6, 15, 10, 11, 18, 8, 7]"
4,-67925.0,-14410.0,-29938.530000000028,-28913.0,6200.07,91035,11.786370754241943,"[11, 18, 16, 6, 4, 10, 3, 4, 5, 15, 3, 19, 3, 2, 17, 2, 9, 11, 12, 1, 14, 3, 16, 14, 15, 6, 2, 9, 2, 6, 9, 2, 1, 15, 18, 12, 2, 10, 15, 9, 5, 18, 4, 5, 14, 6, 7, 6, 15, 10, 11, 18, 8, 7]"
5,-67920.0,-14398.0,-29378.119999999995,-28412.0,5957.68,90977,11.771188259124756,"[5, 20, 11, 10, 17, 7, 19, 3, 10, 17, 9, 14, 7, 18, 1, 2, 11, 12, 2, 17, 18, 15, 14, 4, 13, 19, 2, 9, 13, 6, 3, 19, 1, 6, 13, 1, 16, 6, 15, 2, 2, 7, 8, 14, 6, 6, 5, 17, 14, 3, 10, 1, 13, 12]"
6,-74431.0,-14398.0,-28954.01000000001,-27915.0,5837.6,91226,11.618501901626587,"[5, 20, 11, 10, 17, 7, 19, 3, 10, 17, 9, 14, 7, 18, 1, 2, 11, 12, 2, 17, 18, 15, 14, 4, 13, 19, 2, 9, 13, 6, 3, 19, 1, 6, 13, 1, 16, 6, 15, 2, 2, 7, 8, 14, 6, 6, 5, 17, 14, 3, 10, 1, 13, 12]"
7,-74918.0,-13909.0,-28698.170000000042,-27425.0,5786.18,91135,11.662435531616211,"[18, 19, 10, 20, 1, 11, 8, 2, 18, 17, 4, 3, 18, 17, 9, 3, 11, 2, 10, 3, 9, 4, 8, 17, 8, 5, 10, 1, 14, 1, 4, 13, 4, 12, 15, 2, 18, 19, 6, 14, 9, 14, 18, 14, 1, 12, 7, 6, 15, 5, 15, 14, 2, 10]"
8,-71426.0,-13909.0,-28479.959999999963,-27416.0,5738.3,91007,11.7790048122406,"[18, 19, 10, 20, 1, 11, 8, 2, 18, 17, 4, 3, 18, 17, 9, 3, 11, 2, 10, 3, 9, 4, 8, 17, 8, 5, 10, 1, 14, 1, 4, 13, 4, 12, 15, 2, 18, 19, 6, 14, 9, 14, 18, 14, 1, 12, 7, 6, 15, 5, 15, 14, 2, 10]"
9,-68917.0,-13909.0,-28269.699999999953,-27410.0,5712.77,91321,11.837321043014526,"[18, 19, 10, 20, 1, 11, 8, 2, 18, 17, 4, 3, 18, 17, 9, 3, 11, 2, 10, 3, 9, 4, 8, 17, 8, 5, 10, 1, 14, 1, 4, 13, 4, 12, 15, 2, 18, 19, 6, 14, 9, 14, 18, 14, 1, 12, 7, 6, 15, 5, 15, 14, 2, 10]"
