gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-75429.0,-15911.0,-32991.29000000004,-31911.0,7417.41,81277,10.554523229598999,"[4, 13, 7, 8, 1, 17, 13, 8, 8, 17, 18, 7, 9, 10, 15, 7, 4, 14, 20, 20, 18, 1, 10, 4, 10, 5, 14, 13, 9, 2, 15, 17, 18, 17, 15, 1, 15, 18, 17, 9, 10, 9, 3, 16, 20, 5, 10, 3, 18, 19, 2, 14, 18, 9]"
1,-75416.0,-15908.0,-31702.800000000047,-30420.0,6839.5,81323,10.544546127319336,"[3, 11, 12, 1, 12, 18, 14, 20, 10, 2, 3, 7, 17, 5, 9, 7, 5, 2, 18, 19, 6, 2, 18, 4, 19, 1, 13, 6, 4, 19, 18, 12, 2, 16, 11, 2, 14, 5, 18, 11, 14, 13, 6, 18, 8, 6, 3, 10, 2, 10, 3, 4, 7, 16]"
2,-74936.0,-14401.0,-30734.810000000056,-29425.0,6369.14,81227,10.622283220291138,"[16, 3, 16, 6, 1, 20, 10, 11, 17, 6, 8, 3, 7, 16, 7, 8, 13, 2, 13, 17, 10, 19, 20, 2, 7, 2, 18, 17, 6, 3, 8, 13, 6, 18, 7, 14, 4, 7, 14, 5, 15, 2, 19, 13, 5, 18, 9, 4, 2, 18, 5, 3, 2, 1]"
3,-79427.0,-14401.0,-29973.949999999953,-28915.0,6072.32,81179,10.766907691955566,"[16, 3, 16, 6, 1, 20, 10, 11, 17, 6, 8, 3, 7, 16, 7, 8, 13, 2, 13, 17, 10, 19, 20, 2, 7, 2, 18, 17, 6, 3, 8, 13, 6, 18, 7, 14, 4, 7, 14, 5, 15, 2, 19, 13, 5, 18, 9, 4, 2, 18, 5, 3, 2, 1]"
4,-63927.0,-13406.0,-29385.150000000023,-28414.0,5850.04,80898,10.789794445037842,"[11, 6, 1, 17, 19, 9, 3, 9, 18, 6, 8, 14, 15, 6, 2, 6, 14, 18, 16, 12, 10, 3, 4, 3, 10, 1, 17, 10, 12, 13, 1, 2, 20, 19, 19, 6, 20, 14, 7, 17, 4, 11, 18, 2, 1, 16, 14, 6, 2, 15, 3, 17, 5, 13]"
5,-62433.0,-11903.0,-28590.77000000002,-27904.0,5487.06,81234,10.781204462051392,"[11, 6, 1, 17, 19, 9, 3, 9, 18, 6, 8, 14, 15, 6, 2, 6, 14, 18, 16, 12, 10, 3, 4, 3, 10, 1, 17, 10, 12, 13, 1, 2, 20, 19, 19, 11, 5, 10, 12, 17, 4, 11, 18, 2, 1, 16, 14, 6, 2, 15, 3, 17, 5, 13]"
6,-62927.0,-11903.0,-27934.56999999995,-26920.0,5209.41,81345,10.63088846206665,"[11, 6, 1, 17, 19, 9, 3, 9, 18, 6, 8, 14, 15, 6, 2, 6, 14, 18, 16, 12, 10, 3, 4, 3, 10, 1, 17, 10, 12, 13, 1, 2, 20, 19, 19, 11, 5, 10, 12, 17, 4, 11, 18, 2, 1, 16, 14, 6, 2, 15, 3, 17, 5, 13]"
7,-65424.0,-11903.0,-27455.030000000028,-26906.0,5019.67,81060,10.804244756698608,"[11, 6, 1, 17, 19, 9, 3, 9, 18, 6, 8, 14, 15, 6, 2, 6, 14, 18, 16, 12, 10, 3, 4, 3, 10, 1, 17, 10, 12, 13, 1, 2, 20, 19, 19, 11, 5, 10, 12, 17, 4, 11, 18, 2, 1, 16, 14, 6, 2, 15, 3, 17, 5, 13]"
8,-64428.0,-11903.0,-27108.02000000002,-26413.0,4959.8,81104,10.841809749603271,"[11, 6, 1, 17, 19, 9, 3, 9, 18, 6, 8, 14, 15, 6, 2, 6, 14, 18, 16, 12, 10, 3, 4, 3, 10, 1, 17, 10, 12, 13, 1, 2, 20, 19, 19, 11, 5, 10, 12, 17, 4, 11, 18, 2, 1, 16, 14, 6, 2, 15, 3, 17, 5, 13]"
9,-67425.0,-11903.0,-26757.72999999998,-25918.0,4842.5,81074,10.664373397827148,"[11, 6, 1, 17, 19, 9, 3, 9, 18, 6, 8, 14, 15, 6, 2, 6, 14, 18, 16, 12, 10, 3, 4, 3, 10, 1, 17, 10, 12, 13, 1, 2, 20, 19, 19, 11, 5, 10, 12, 17, 4, 11, 18, 2, 1, 16, 14, 6, 2, 15, 3, 17, 5, 13]"
