gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-76436.0,-15904.0,-33058.630000000005,-31913.0,7464.03,80342,10.374228715896606,"[13, 14, 12, 18, 9, 10, 7, 18, 1, 14, 20, 13, 15, 2, 9, 14, 4, 5, 2, 14, 1, 10, 9, 5, 13, 15, 10, 14, 2, 18, 6, 15, 10, 18, 12, 7, 12, 11, 2, 10, 2, 6, 11, 6, 19, 19, 8, 7, 9, 10, 13, 6, 11, 2]"
1,-73930.0,-15904.0,-31822.119999999995,-30425.0,6904.65,80264,10.301395416259766,"[13, 14, 12, 18, 9, 10, 7, 18, 1, 14, 20, 13, 15, 2, 9, 14, 4, 5, 2, 14, 1, 10, 9, 5, 13, 15, 10, 14, 2, 18, 6, 15, 10, 18, 12, 7, 12, 11, 2, 10, 2, 6, 11, 6, 19, 19, 8, 7, 9, 10, 13, 6, 11, 2]"
2,-72938.0,-15898.0,-30758.709999999963,-29426.0,6423.17,80282,10.407272338867188,"[10, 1, 13, 5, 1, 3, 15, 13, 13, 19, 8, 15, 3, 4, 20, 12, 3, 6, 6, 2, 14, 1, 19, 13, 2, 12, 13, 2, 1, 5, 18, 19, 5, 20, 19, 8, 5, 2, 8, 11, 10, 2, 17, 8, 20, 2, 9, 10, 11, 9, 17, 16, 1, 10]"
3,-66932.0,-15404.0,-29883.469999999972,-28914.0,6053.33,80092,10.42089557647705,"[9, 6, 5, 12, 14, 13, 7, 15, 18, 19, 9, 15, 3, 12, 19, 1, 11, 17, 2, 6, 13, 3, 15, 20, 5, 17, 1, 5, 15, 4, 14, 19, 4, 3, 18, 19, 1, 2, 9, 17, 9, 18, 7, 14, 13, 16, 14, 6, 7, 8, 20, 6, 4, 16]"
4,-75418.0,-14907.0,-29099.359999999986,-27922.0,5709.84,80268,10.34504246711731,"[12, 3, 12, 19, 19, 20, 13, 9, 13, 1, 7, 19, 19, 7, 1, 2, 14, 7, 4, 2, 14, 10, 11, 11, 1, 17, 18, 17, 7, 14, 6, 18, 12, 16, 3, 5, 8, 18, 2, 20, 18, 5, 14, 20, 2, 3, 18, 2, 6, 7, 3, 15, 12, 8]"
5,-66915.0,-14902.0,-28596.380000000005,-27423.0,5524.01,79950,10.704999208450317,"[9, 4, 9, 3, 3, 16, 6, 9, 10, 2, 2, 11, 6, 7, 1, 4, 3, 7, 3, 19, 18, 6, 1, 2, 17, 6, 11, 5, 2, 7, 11, 3, 7, 17, 14, 1, 5, 1, 9, 17, 9, 5, 18, 20, 5, 20, 6, 18, 20, 19, 5, 10, 3, 13]"
6,-72929.0,-14407.0,-28017.670000000042,-26924.0,5271.56,79964,10.320780754089355,"[11, 18, 11, 4, 8, 19, 14, 3, 15, 5, 4, 15, 12, 6, 18, 3, 2, 18, 1, 16, 9, 14, 1, 4, 11, 12, 14, 9, 15, 8, 7, 3, 8, 15, 18, 19, 11, 3, 19, 8, 1, 2, 15, 13, 19, 7, 19, 13, 19, 17, 5, 10, 18, 6]"
7,-63928.0,-14403.0,-27684.219999999972,-26912.0,5197.11,80153,10.499734878540039,"[19, 7, 10, 15, 5, 19, 14, 7, 18, 17, 2, 17, 17, 9, 9, 2, 3, 20, 14, 6, 13, 15, 19, 4, 18, 9, 17, 14, 12, 4, 14, 6, 7, 18, 9, 19, 8, 7, 20, 11, 14, 13, 8, 4, 3, 10, 1, 10, 2, 16, 11, 10, 16, 7]"
8,-63922.0,-14401.0,-27213.109999999986,-26415.0,5013.8,80594,10.442790508270264,"[15, 14, 17, 6, 18, 5, 13, 18, 1, 10, 3, 1, 16, 7, 2, 3, 2, 10, 6, 14, 13, 14, 15, 8, 6, 5, 11, 18, 12, 17, 20, 19, 4, 9, 1, 20, 12, 19, 9, 20, 10, 17, 18, 7, 18, 14, 19, 7, 16, 19, 10, 5, 15, 3]"
9,-67916.0,-13408.0,-26797.800000000047,-25919.0,4876.67,80184,10.46708607673645,"[1, 15, 3, 12, 7, 17, 3, 10, 16, 7, 14, 2, 3, 11, 20, 13, 2, 18, 6, 19, 13, 5, 16, 13, 8, 18, 10, 9, 18, 17, 12, 4, 16, 15, 18, 4, 1, 11, 10, 2, 1, 8, 6, 8, 13, 7, 5, 6, 18, 19, 9, 7, 20, 10]"
10,-64921.0,-12411.0,-26547.51000000001,-25912.0,4854.2,80258,10.505946159362793,"[14, 20, 2, 3, 9, 19, 10, 12, 18, 5, 8, 16, 17, 1, 20, 16, 8, 7, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 6, 15, 3, 9, 17, 12, 14, 14, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 19, 1, 16, 7, 13]"
11,-66416.0,-12402.0,-26277.51000000001,-25420.0,4790.5,80142,10.556053161621094,"[6, 5, 15, 2, 19, 2, 2, 15, 19, 8, 8, 15, 18, 19, 1, 8, 19, 9, 14, 7, 18, 1, 20, 3, 11, 9, 14, 6, 13, 17, 17, 8, 4, 16, 12, 14, 14, 1, 18, 10, 15, 8, 12, 17, 18, 14, 1, 6, 20, 11, 3, 9, 1, 10]"
12,-62423.0,-12402.0,-26038.150000000023,-25413.0,4775.93,80307,10.252163887023926,"[6, 5, 15, 2, 19, 2, 2, 15, 19, 8, 8, 15, 18, 19, 1, 8, 19, 9, 14, 7, 18, 1, 20, 3, 11, 9, 14, 6, 13, 17, 17, 8, 4, 16, 12, 14, 14, 1, 18, 10, 15, 8, 12, 17, 18, 14, 1, 6, 20, 11, 3, 9, 1, 10]"
13,-61428.0,-11408.0,-25735.97999999998,-24920.0,4719.2,80253,10.567736148834229,"[14, 20, 2, 3, 9, 19, 10, 12, 18, 5, 8, 16, 20, 16, 17, 16, 8, 7, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 6, 15, 3, 9, 17, 12, 14, 14, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 19, 1, 16, 7, 13]"
14,-57919.0,-11408.0,-25444.23999999999,-24912.0,4628.38,80206,10.499376058578491,"[14, 20, 2, 3, 9, 19, 10, 12, 18, 5, 8, 16, 20, 16, 17, 16, 8, 7, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 6, 15, 3, 9, 17, 12, 14, 14, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 19, 1, 16, 7, 13]"
15,-57927.0,-11408.0,-25149.780000000028,-24419.0,4561.04,80280,10.466956615447998,"[14, 20, 2, 3, 9, 19, 10, 12, 18, 5, 8, 16, 20, 16, 17, 16, 8, 7, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 6, 15, 3, 9, 17, 12, 14, 14, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 19, 1, 16, 7, 13]"
16,-58425.0,-11408.0,-24906.98999999999,-24412.0,4507.63,80248,10.816744327545166,"[14, 20, 2, 3, 9, 19, 10, 12, 18, 5, 8, 16, 20, 16, 17, 16, 8, 7, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 6, 15, 3, 9, 17, 12, 14, 14, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 19, 1, 16, 7, 13]"
17,-64419.0,-11403.0,-24690.579999999958,-24405.0,4492.93,80332,10.521884441375732,"[17, 18, 17, 9, 20, 16, 9, 8, 9, 15, 9, 4, 18, 14, 18, 14, 2, 10, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 6, 15, 6, 13, 10, 15, 4, 14, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 19, 1, 16, 7, 13]"
18,-59913.0,-11401.0,-24579.140000000014,-23917.0,4519.99,80297,10.538386344909668,"[15, 6, 18, 4, 18, 9, 8, 16, 17, 6, 19, 10, 5, 1, 2, 15, 10, 12, 17, 6, 9, 2, 1, 2, 13, 14, 10, 2, 13, 1, 19, 3, 11, 7, 19, 6, 5, 19, 13, 9, 18, 5, 15, 6, 13, 18, 17, 18, 20, 9, 7, 8, 11, 19]"
19,-66929.0,-10903.0,-24374.859999999986,-23912.0,4533.94,80457,10.688467979431152,"[9, 17, 1, 2, 15, 8, 3, 10, 9, 18, 16, 13, 18, 9, 19, 19, 2, 10, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 6, 15, 2, 3, 1, 13, 14, 14, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 17, 14, 15, 8, 19]"
20,-56922.0,-10903.0,-24294.27000000002,-23909.0,4599.91,80087,10.469468593597412,"[9, 17, 1, 2, 15, 8, 3, 10, 9, 18, 16, 13, 18, 9, 19, 19, 2, 10, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 6, 15, 2, 3, 1, 13, 14, 14, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 17, 14, 15, 8, 19]"
21,-65926.0,-10408.0,-24054.5,-23416.0,4583.2,80285,10.688903093338013,"[19, 20, 2, 3, 19, 2, 19, 10, 18, 5, 2, 15, 8, 9, 19, 4, 2, 10, 13, 7, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 14, 6, 12, 5, 11, 9, 7, 19, 14, 13, 18, 9, 20, 14, 13, 6, 16, 8, 20, 19, 1, 16, 7, 13]"
22,-58915.0,-10401.0,-23952.859999999986,-23413.0,4625.08,79812,10.410795450210571,"[9, 17, 1, 2, 15, 8, 3, 10, 9, 18, 16, 13, 18, 9, 19, 19, 2, 10, 2, 1, 10, 6, 7, 16, 5, 2, 2, 1, 18, 5, 19, 7, 15, 5, 4, 9, 10, 12, 5, 13, 18, 9, 18, 14, 13, 6, 16, 8, 20, 17, 14, 15, 8, 19]"
