gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-84430.0,-15902.0,-32981.439999999944,-31911.0,7373.37,80488,10.462021112442017,"[6, 5, 16, 8, 11, 1, 12, 20, 17, 3, 8, 7, 16, 2, 10, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 8, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 4, 14, 17, 10, 5, 2, 7]"
1,-75429.0,-15902.0,-31944.599999999977,-30913.0,6940.6,80567,10.440198421478271,"[6, 5, 16, 8, 11, 1, 12, 20, 17, 3, 8, 7, 16, 2, 10, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 8, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 4, 14, 17, 10, 5, 2, 7]"
2,-81425.0,-15902.0,-30919.209999999963,-29913.0,6489.86,80153,10.295854091644287,"[6, 5, 16, 8, 11, 1, 12, 20, 17, 3, 8, 7, 16, 2, 10, 6, 3, 7, 10, 12, 14, 13, 1, 2, 14, 2, 18, 19, 7, 17, 1, 6, 13, 3, 8, 19, 10, 9, 18, 3, 10, 17, 18, 2, 3, 18, 11, 4, 14, 17, 10, 5, 2, 7]"
3,-69429.0,-14912.0,-30235.589999999967,-29405.0,6213.36,79967,10.290554523468018,"[18, 8, 14, 1, 20, 15, 18, 7, 17, 5, 16, 12, 6, 7, 6, 15, 5, 16, 14, 14, 10, 10, 17, 19, 6, 6, 8, 9, 4, 16, 5, 18, 5, 2, 1, 14, 2, 9, 15, 16, 14, 1, 18, 2, 14, 16, 6, 7, 9, 20, 19, 5, 7, 6]"
4,-66426.0,-13898.0,-29420.02000000002,-28415.0,5854.93,79921,10.385291576385498,"[19, 7, 5, 6, 17, 8, 16, 9, 13, 2, 8, 20, 10, 2, 2, 11, 18, 20, 20, 14, 14, 17, 18, 9, 10, 20, 18, 17, 18, 17, 15, 8, 11, 1, 8, 12, 17, 18, 16, 1, 12, 5, 4, 13, 1, 8, 4, 5, 15, 1, 6, 16, 9, 10]"
5,-71419.0,-13898.0,-28694.459999999963,-27910.0,5564.04,80126,10.598098754882812,"[19, 7, 5, 6, 17, 8, 16, 9, 13, 2, 8, 20, 10, 2, 2, 11, 18, 20, 20, 14, 14, 17, 18, 9, 10, 20, 18, 17, 18, 17, 15, 8, 11, 1, 8, 12, 17, 18, 16, 1, 12, 5, 4, 13, 1, 8, 4, 5, 15, 1, 6, 16, 9, 10]"
6,-62919.0,-13898.0,-28204.27000000002,-27412.0,5376.63,79950,10.433187007904053,"[19, 7, 5, 6, 17, 8, 16, 9, 13, 2, 8, 20, 10, 2, 2, 11, 18, 20, 20, 14, 14, 17, 18, 9, 10, 20, 18, 17, 18, 17, 15, 8, 11, 1, 8, 12, 17, 18, 16, 1, 12, 5, 4, 13, 1, 8, 4, 5, 15, 1, 6, 16, 9, 10]"
7,-64931.0,-13898.0,-27628.339999999967,-26912.0,5140.12,80641,10.536914825439453,"[19, 7, 5, 6, 17, 8, 16, 9, 13, 2, 8, 20, 10, 2, 2, 11, 18, 20, 20, 14, 14, 17, 18, 9, 10, 20, 18, 17, 18, 17, 15, 8, 11, 1, 8, 12, 17, 18, 16, 1, 12, 5, 4, 13, 1, 8, 4, 5, 15, 1, 6, 16, 9, 10]"
8,-66927.0,-13407.0,-27197.400000000023,-26415.0,4975.72,79919,10.389784574508667,"[12, 16, 6, 13, 1, 11, 11, 3, 6, 18, 1, 15, 1, 14, 5, 5, 6, 7, 19, 14, 9, 13, 2, 10, 18, 13, 2, 10, 19, 8, 5, 17, 5, 13, 12, 8, 19, 20, 1, 14, 2, 6, 19, 7, 15, 3, 13, 1, 9, 2, 20, 5, 13, 14]"
9,-72413.0,-12907.0,-26836.099999999977,-25921.0,4900.0,80172,10.448399782180786,"[14, 11, 12, 3, 10, 13, 17, 19, 10, 1, 14, 1, 5, 20, 6, 15, 7, 2, 20, 15, 17, 1, 16, 13, 4, 10, 1, 10, 14, 6, 17, 12, 18, 9, 5, 19, 13, 6, 2, 1, 7, 17, 11, 19, 11, 12, 7, 15, 16, 2, 19, 20, 13, 9]"
