gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-55919.0,-13407.0,-22447.23999999999,-21916.0,2809.86,89521,20.262943267822266,"[19, 20, 11, 10, 20, 8, 20, 19, 11, 16, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 11, 16, 16, 1, 18, 5, 5, 6, 17, 9, 18, 11, 12, 5, 7, 2, 14, 18, 15, 18, 5, 4, 19, 8]"
1,-54915.0,-11406.0,-18829.650000000023,-18406.0,2797.62,89551,21.206624031066895,"[14, 4, 15, 2, 16, 13, 11, 2, 9, 1, 7, 19, 19, 8, 13, 19, 11, 7, 17, 5, 9, 3, 9, 18, 8, 14, 13, 14, 2, 9, 18, 7, 10, 3, 14, 18, 1, 13, 13, 5, 17, 18, 9, 18, 17, 2, 5, 6, 3, 12, 4, 11, 16, 6]"
2,-53414.0,-8903.0,-16107.790000000037,-15408.0,2837.2,89657,20.85287094116211,"[20, 19, 7, 11, 5, 13, 14, 7, 18, 17, 10, 1, 6, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 11, 16, 16, 1, 18, 5, 5, 6, 17, 9, 18, 11, 9, 1, 10, 13, 6, 5, 1, 15, 14, 2, 9, 19]"
3,-58916.0,-7408.0,-14032.199999999953,-13404.0,2944.51,89685,20.906551837921143,"[20, 19, 15, 14, 9, 2, 16, 2, 5, 18, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 2, 1, 2, 14, 13, 11, 16, 16, 2, 12, 3, 9, 19, 17, 10, 5, 18, 7, 1, 17, 13, 6, 5, 1, 15, 14, 2, 9, 19]"
4,-55416.0,-5899.0,-11876.380000000005,-11154.0,3029.08,89700,20.756219625473022,"[17, 18, 19, 9, 20, 10, 1, 15, 17, 5, 20, 10, 19, 18, 14, 19, 7, 12, 19, 20, 6, 13, 5, 3, 11, 13, 2, 1, 18, 17, 15, 2, 8, 7, 16, 5, 16, 1, 18, 10, 5, 18, 9, 18, 17, 2, 5, 19, 14, 8, 14, 6, 2, 10]"
5,-51414.0,-4403.0,-9856.900000000023,-8903.0,3074.64,89649,20.47240662574768,"[20, 19, 15, 14, 9, 2, 16, 2, 5, 18, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 2, 1, 2, 14, 13, 7, 16, 16, 1, 18, 17, 5, 16, 10, 9, 8, 7, 16, 13, 14, 2, 6, 5, 1, 15, 14, 2, 9, 19]"
6,-58917.0,-2901.0,-8407.349999999977,-7402.0,3173.1,89446,19.965067863464355,"[19, 20, 15, 14, 8, 16, 14, 13, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 1, 18, 8, 2, 12, 18, 10, 13, 6, 17, 9, 18, 5, 15, 3, 4, 2, 13, 6, 3, 9, 17, 3, 17, 18]"
7,-51417.0,-2390.0,-7163.329999999958,-6394.0,3291.58,89531,19.85601258277893,"[20, 19, 10, 1, 5, 13, 14, 7, 18, 17, 10, 1, 6, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 9, 19, 5, 10, 9, 14, 13, 11, 12, 2, 9, 18, 10, 6, 13, 2, 1, 17, 18, 8, 18, 17, 2, 5, 6, 3, 12, 6, 5, 14, 13]"
8,-60916.0,-894.0,-5934.709999999963,-4899.0,3342.96,89604,19.72598147392273,"[20, 19, 10, 1, 8, 16, 16, 15, 14, 5, 3, 10, 19, 18, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 2, 1, 9, 14, 13, 11, 12, 2, 9, 18, 10, 5, 6, 17, 9, 18, 5, 1, 18, 17, 2, 5, 6, 3, 12, 6, 5, 10, 2]"
9,-45894.0,-890.0,-4831.189999999944,-3894.0,3393.23,89600,19.402825832366943,"[20, 19, 4, 10, 8, 16, 16, 15, 5, 18, 3, 10, 19, 18, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 13, 10, 10, 9, 14, 13, 11, 12, 2, 9, 18, 10, 13, 6, 17, 9, 18, 5, 1, 18, 17, 2, 5, 6, 3, 12, 6, 5, 14, 13]"
