gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-58916.0,-13413.0,-22778.420000000042,-21917.0,3426.46,75341,19.130205154418945,"[16, 4, 8, 18, 2, 10, 16, 15, 7, 19, 15, 1, 2, 3, 9, 10, 16, 14, 15, 13, 1, 19, 17, 9, 3, 20, 2, 10, 15, 17, 6, 12, 11, 18, 2, 3, 2, 18, 10, 14, 17, 1, 11, 16, 14, 18, 1, 11, 17, 12, 5, 18, 19, 5]"
1,-61423.0,-10405.0,-19473.790000000037,-18410.0,3634.17,75349,19.567283868789673,"[11, 20, 18, 17, 19, 9, 5, 6, 5, 19, 10, 2, 17, 1, 13, 16, 8, 16, 17, 6, 9, 20, 7, 20, 10, 11, 17, 9, 14, 5, 16, 19, 10, 18, 1, 7, 13, 14, 2, 14, 7, 16, 11, 4, 3, 6, 13, 1, 2, 10, 17, 18, 18, 13]"
2,-62413.0,-9403.0,-16978.530000000028,-15905.0,3859.9,75296,19.614269971847534,"[19, 18, 15, 6, 4, 12, 3, 4, 1, 2, 17, 11, 20, 12, 5, 3, 16, 12, 1, 20, 17, 19, 7, 10, 3, 16, 6, 17, 10, 2, 17, 18, 2, 10, 4, 13, 13, 1, 11, 12, 9, 2, 13, 4, 3, 6, 13, 1, 12, 20, 16, 11, 13, 7]"
3,-51925.0,-8393.0,-14848.099999999977,-13416.0,3957.17,75076,19.602576732635498,"[14, 7, 15, 5, 2, 10, 6, 2, 13, 5, 7, 3, 7, 13, 10, 3, 11, 6, 2, 5, 6, 17, 14, 16, 13, 10, 6, 13, 5, 1, 6, 20, 14, 15, 19, 10, 6, 14, 11, 18, 17, 9, 13, 2, 9, 4, 18, 17, 20, 12, 1, 15, 10, 18]"
4,-53412.0,-5899.0,-13111.619999999995,-11902.0,4181.64,75435,19.119430780410767,"[6, 15, 17, 18, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 9, 11, 10, 17, 13, 15, 6, 16, 4, 10, 1, 5, 14, 10, 6, 14, 19, 20, 17, 7, 13, 7, 5, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 11, 12, 17, 6, 2, 1]"
5,-62917.0,-4901.0,-11962.540000000037,-10897.0,4319.25,75267,19.2130765914917,"[17, 18, 15, 20, 9, 3, 8, 14, 17, 9, 1, 13, 15, 4, 2, 7, 15, 16, 15, 1, 14, 20, 10, 2, 13, 3, 5, 14, 17, 5, 2, 14, 11, 10, 16, 3, 14, 2, 5, 18, 17, 9, 11, 4, 3, 6, 13, 1, 2, 10, 17, 18, 18, 13]"
6,-55408.0,-4401.0,-10850.73999999999,-9406.0,4459.26,75216,19.226717233657837,"[17, 18, 15, 20, 9, 3, 8, 14, 17, 9, 1, 13, 15, 4, 2, 7, 15, 16, 15, 1, 14, 6, 17, 2, 10, 6, 5, 14, 17, 5, 2, 14, 11, 10, 16, 3, 14, 2, 5, 18, 1, 2, 11, 4, 3, 6, 13, 1, 2, 10, 17, 18, 18, 13]"
7,-62411.0,-3895.0,-8792.640000000014,-6896.0,4522.44,75187,18.102071285247803,"[19, 18, 12, 18, 11, 3, 7, 8, 2, 1, 1, 20, 7, 8, 1, 13, 8, 12, 14, 11, 14, 10, 9, 2, 10, 6, 14, 5, 7, 15, 5, 16, 6, 15, 10, 3, 10, 2, 5, 18, 1, 2, 15, 4, 3, 6, 6, 17, 19, 20, 4, 11, 13, 7]"
8,-59921.0,-2906.0,-8038.589999999967,-5899.0,4742.54,75047,17.973521947860718,"[19, 18, 15, 6, 9, 3, 8, 14, 2, 1, 7, 13, 15, 4, 2, 7, 15, 16, 15, 12, 14, 17, 9, 2, 10, 6, 14, 5, 17, 5, 2, 14, 11, 10, 16, 3, 14, 2, 5, 18, 17, 9, 11, 4, 3, 6, 13, 1, 2, 10, 17, 18, 18, 7]"
9,-52418.0,-2388.0,-7436.75,-5400.0,4732.2,75426,18.151426076889038,"[6, 15, 17, 18, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 9, 11, 12, 17, 13, 15, 6, 16, 4, 10, 1, 5, 17, 10, 6, 14, 19, 20, 14, 7, 8, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
10,-50414.0,-1888.0,-6755.660000000033,-4400.0,4854.4,75014,18.218244791030884,"[6, 14, 20, 9, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 5, 11, 12, 17, 13, 15, 6, 16, 4, 10, 1, 17, 17, 10, 6, 14, 19, 20, 17, 7, 13, 7, 5, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 20, 19, 5, 6, 2, 1]"
11,-49907.0,-1386.0,-4841.699999999953,-2890.0,4593.74,75243,18.17439031600952,"[6, 15, 17, 18, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 9, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 7, 13, 7, 5, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
12,-58899.0,-886.0,-3912.9599999999627,-1890.0,4655.68,75216,17.7045259475708,"[6, 15, 17, 18, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 9, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 17, 17, 10, 6, 5, 19, 20, 17, 7, 13, 7, 5, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
13,-50404.0,-885.0,-3439.25,-1389.0,4759.51,75161,17.723851919174194,"[6, 15, 17, 18, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 7, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
14,-52401.0,-884.0,-2976.680000000051,-886.0,4723.21,75372,17.744850397109985,"[6, 14, 20, 9, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 15, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 7, 8, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
15,-57411.0,-884.0,-2945.9000000000233,-885.0,4794.6,75019,17.671852350234985,"[6, 14, 20, 9, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 15, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 7, 8, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
16,-53898.0,-883.0,-2940.189999999944,-885.0,4730.2,75238,17.916574954986572,"[7, 15, 15, 5, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
17,-53908.0,-883.0,-2953.5500000000466,-884.0,4693.23,75039,17.7562894821167,"[7, 15, 15, 5, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
18,-49911.0,-883.0,-2980.6300000000047,-884.0,4701.01,75414,17.9138023853302,"[7, 15, 15, 5, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
19,-49401.0,-883.0,-2882.3800000000047,-883.0,4739.71,74961,17.786330461502075,"[7, 15, 15, 5, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
20,-45903.0,-883.0,-2862.7399999999907,-883.0,4746.44,75593,17.830262184143066,"[7, 15, 15, 5, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
21,-60907.0,-883.0,-2850.2600000000093,-883.0,4761.79,75149,17.672494649887085,"[7, 15, 15, 5, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 5, 17, 10, 6, 14, 19, 20, 17, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
22,-52416.0,-882.0,-2854.9599999999627,-883.0,4761.49,75314,18.037899494171143,"[7, 15, 20, 9, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 17, 17, 10, 6, 14, 19, 20, 5, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
23,-58899.0,-882.0,-2834.1600000000326,-883.0,4741.32,75543,17.798962831497192,"[7, 15, 20, 9, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 17, 17, 10, 6, 14, 19, 20, 5, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
24,-49405.0,-882.0,-2840.579999999958,-883.0,4779.63,75105,18.076624393463135,"[7, 15, 20, 9, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 17, 17, 10, 6, 14, 19, 20, 5, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
25,-51402.0,-882.0,-2779.75,-882.0,4686.83,75334,18.085060596466064,"[7, 15, 20, 9, 9, 3, 15, 16, 9, 18, 16, 2, 3, 14, 2, 11, 12, 18, 13, 14, 14, 6, 5, 10, 1, 17, 17, 10, 6, 14, 19, 20, 5, 6, 13, 7, 14, 13, 1, 2, 9, 18, 14, 15, 3, 10, 13, 1, 19, 20, 17, 18, 2, 1]"
