gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-58423.0,-13907.0,-22872.98999999999,-22405.0,3482.0,83151,19.85609483718872,"[15, 2, 6, 14, 4, 16, 14, 2, 15, 6, 8, 19, 12, 1, 18, 5, 17, 17, 14, 12, 4, 14, 5, 3, 18, 19, 2, 9, 11, 5, 4, 12, 2, 9, 18, 10, 13, 2, 5, 20, 1, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
1,-64422.0,-10901.0,-19426.400000000023,-18411.0,3648.59,82868,20.564234972000122,"[19, 18, 5, 14, 1, 9, 3, 9, 13, 18, 19, 10, 15, 7, 2, 11, 3, 12, 11, 7, 9, 13, 5, 13, 2, 6, 17, 2, 16, 7, 18, 17, 20, 10, 6, 13, 7, 16, 20, 19, 8, 16, 2, 20, 6, 1, 6, 14, 11, 14, 4, 15, 19, 11]"
2,-55917.0,-8894.0,-16780.189999999944,-15900.0,3752.95,83247,20.089214086532593,"[15, 2, 10, 1, 4, 10, 16, 3, 13, 1, 7, 19, 13, 19, 2, 19, 8, 18, 18, 14, 5, 17, 18, 16, 3, 12, 19, 18, 17, 6, 1, 2, 9, 1, 7, 2, 6, 5, 2, 9, 18, 8, 6, 13, 3, 9, 13, 14, 5, 20, 9, 10, 2, 10]"
3,-51923.0,-7402.0,-14915.560000000056,-13903.0,3935.56,83371,20.159727573394775,"[10, 4, 17, 10, 11, 3, 14, 13, 13, 14, 9, 8, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 2, 1, 12, 7, 18, 12, 7, 16, 20, 19, 8, 16, 2, 20, 6, 15, 7, 8, 20, 19, 10, 17, 6, 18]"
4,-52422.0,-6398.0,-13167.560000000056,-11905.0,4134.26,83342,20.173540115356445,"[19, 7, 13, 5, 9, 4, 3, 15, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 6, 8, 10, 17, 16, 1, 5, 6, 17, 18, 9, 10, 12, 11, 19, 17, 17, 5, 11, 1, 2, 10, 5, 18]"
5,-56417.0,-5398.0,-11585.579999999958,-10395.0,4351.61,83036,19.790940761566162,"[20, 19, 19, 10, 4, 16, 14, 13, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 7, 6, 2, 11, 6, 5, 13, 2, 1, 18, 9, 10, 12, 11, 19, 17, 17, 5, 11, 1, 2, 10, 5, 18]"
6,-58413.0,-4393.0,-10014.48999999999,-8401.0,4498.07,83432,19.458492040634155,"[20, 19, 19, 10, 11, 3, 14, 13, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 9, 10, 4, 17, 1, 9, 13, 14, 7, 20, 8, 7, 16, 15, 1, 10, 20, 7, 9, 10, 12, 11, 19, 17, 17, 5, 3, 2, 8, 1, 2, 1]"
7,-61921.0,-3391.0,-8235.449999999953,-6399.0,4536.41,83190,19.255051374435425,"[19, 20, 15, 14, 9, 2, 14, 13, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 4, 5, 10, 9, 14, 13, 7, 16, 10, 9, 16, 1, 5, 6, 17, 9, 18, 11, 12, 11, 19, 2, 6, 18, 10, 17, 15, 2, 5, 18]"
8,-51918.0,-2392.0,-6925.589999999967,-4899.0,4614.68,83130,18.83777642250061,"[19, 20, 15, 14, 9, 2, 14, 13, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 3, 11, 10, 10, 9, 13, 14, 7, 8, 10, 17, 16, 1, 14, 1, 17, 9, 18, 11, 12, 11, 19, 2, 6, 18, 10, 17, 15, 2, 5, 18]"
9,-47412.0,-1890.0,-6042.479999999981,-3898.0,4717.87,83166,18.956326961517334,"[19, 20, 15, 14, 9, 2, 14, 13, 13, 14, 3, 13, 11, 4, 2, 11, 19, 18, 14, 15, 6, 10, 1, 1, 16, 2, 10, 9, 14, 13, 7, 8, 10, 17, 16, 1, 5, 6, 17, 9, 18, 11, 12, 11, 19, 2, 6, 18, 10, 17, 15, 2, 5, 18]"
